No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
33,Win,33–0,Henry Bruseles,TKO,"8 (12), 2:55","Jan 22, 2005","27 years, 333 days","American Airlines Arena, Miami, Florida, U.S.",
32,Win,32–0,DeMarcus Corley,UD,12,"May 22, 2004","27 years, 88 days","Boardwalk Hall, Atlantic City, New Jersey, U.S.",
31,Win,31–0,Phillip N'dou,TKO,"7 (12), 1:08","Nov 1, 2003","26 years, 250 days","Van Andel Arena, Grand Rapids, Michigan, U.S.",Retained WBC and The Ring lightweight titles
30,Win,30–0,Victoriano Sosa,UD,12,"Apr 19, 2003","26 years, 54 days","Selland Arena, Fresno, California, U.S.",Retained WBC and The Ring lightweight titles
29,Win,29–0,José Luis Castillo,UD,12,"Dec 7, 2002","25 years, 286 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBC and The Ring lightweight titles
28,Win,28–0,José Luis Castillo,UD,12,"Apr 20, 2002","25 years, 55 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBC and vacant The Ring lightweight titles
27,Win,27–0,Jesús Chávez,RTD,"9 (12), 3:00","Nov 10, 2001","24 years, 259 days","Bill Graham Civic Auditorium, San Francisco, California, U.S.",Retained WBC super featherweight title
26,Win,26–0,Carlos Hernández,UD,12,"May 26, 2001","24 years, 91 days","Van Andel Arena, Grand Rapids, Michigan, U.S.",Retained WBC super featherweight title
25,Win,25–0,Diego Corrales,TKO,"10 (12), 2:19","Jan 20, 2001","23 years, 331 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC super featherweight title
24,Win,24–0,Emanuel Augustus,TKO,"9 (10), 1:06","Oct 21, 2000","23 years, 240 days","Cobo Hall, Detroit, Michigan, U.S.",
23,Win,23–0,Gregorio Vargas,UD,12,"Mar 18, 2000","23 years, 84 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBC super featherweight title
22,Win,22–0,Carlos Gerena,RTD,"7 (12), 3:00","Sep 11, 1999","22 years, 199 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBC super featherweight title
21,Win,21–0,Justin Juuko,KO,"9 (12), 1:20","May 22, 1999","22 years, 87 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBC super featherweight title
20,Win,20–0,Carlos Rios,UD,12,"Feb 17, 1999","21 years, 358 days","Van Andel Arena, Grand Rapids, Michigan, U.S.",Retained WBC super featherweight title
19,Win,19–0,Angel Manfredy,TKO,"2 (12), 2:47","Dec 19, 1998","21 years, 298 days","Miccosukee Resort and Gaming, Miami, Florida, U.S.",Retained WBC super featherweight title
18,Win,18–0,Genaro Hernández,RTD,"8 (12), 3:00","Oct 3, 1998","21 years, 221 days","Las Vegas Hilton, Winchester, Nevada, U.S.",Won WBC super featherweight title
17,Win,17–0,Tony Pep,UD,10,"Jun 14, 1998","21 years, 110 days","Etess Arena, Atlantic City, New Jersey, U.S.",
16,Win,16–0,Gustavo Cuello,UD,10,"Apr 18, 1998","21 years, 53 days","Grand Olympic Auditorium, Los Angeles, California, U.S.",
15,Win,15–0,Miguel Melo,TKO,"3 (10), 2:30","Mar 23, 1998","21 years, 27 days","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
14,Win,14–0,Sam Girard,KO,"2 (10), 2:47","Feb 28, 1998","21 years, 4 days","Bally's, Atlantic City, New Jersey, U.S.",
13,Win,13–0,Hector Arroyo,TKO,"5 (10), 1:21","Jan 9, 1998","20 years, 319 days","Grand Casino, Biloxi, Mississippi, U.S.",
12,Win,12–0,Angelo Nuñez,TKO,"3 (8), 2:42","Nov 20, 1997","20 years, 269 days","Grand Olympic Auditorium, Los Angeles, California, U.S.",
11,Win,11–0,Felipe Garcia,KO,"6 (8), 2:56","Oct 14, 1997","20 years, 232 days","Qwest Arena, Boise, Idaho, U.S.",
10,Win,10–0,Louie Leija,TKO,"2 (10), 2:33","Sep 6, 1997","20 years, 194 days","County Coliseum, El Paso, Texas, U.S.",
9,Win,9–0,Jesus Roberto Chavez,TKO,"5 (6), 2:02","Jul 12, 1997","20 years, 138 days","Grand Casino, Biloxi, Mississippi, U.S.",
8,Win,8–0,Larry O'Shields,UD,6,"Jun 14, 1997","20 years, 110 days","Alamodome, San Antonio, Texas, U.S.",
7,Win,7–0,Tony Duran,TKO,"1 (6), 1:12","May 9, 1997","20 years, 74 days","The Orleans, Paradise, Nevada, U.S.",
6,Win,6–0,Bobby Giepert,TKO,"1 (6), 1:30","Apr 12, 1997","20 years, 47 days","Thomas & Mack Center, Paradise, Nevada, U.S.",
5,Win,5–0,Kino Rodriguez,TKO,"1 (6), 1:44","Mar 12, 1997","20 years, 16 days","DeltaPlex Arena, Walker, Michigan, U.S.",
4,Win,4–0,Edgar Ayala,TKO,"2 (4), 1:39","Feb 1, 1997","19 years, 343 days","Swiss Park Hall, Chula Vista, California, U.S.",
3,Win,3–0,Jerry Cooper,TKO,"1 (4), 1:39","Jan 18, 1997","19 years, 329 days","Thomas & Mack Center, Paradise, Nevada, U.S.",
2,Win,2–0,Reggie Sanders,UD,4,"Nov 30, 1996","19 years, 280 days","Tingley Coliseum, Albuquerque, New Mexico, U.S.",
1,Win,1–0,Roberto Apodaca,TKO,"2 (4), 0:37","Oct 11, 1996","19 years, 230 days","Texas Station, North Las Vegas, Nevada, U.S.",
