No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
44,Win,40–2–1 (1),Félix Trinidad,TKO,"12 (12), 1:18","Sep 29, 2001","36 years, 257 days","Madison Square Garden, New York City, New York, U.S.",Retained IBF and WBC middleweight titles; Won WBA (Super) and vacant The Ring middleweight titles
43,Win,39–2–1 (1),Keith Holmes,UD,12,"Apr 14, 2001","36 years, 89 days","Madison Square Garden, New York City, New York, U.S.",Retained IBF middleweight title; Won WBC middleweight title
42,Win,38–2–1 (1),Antwun Echols,TKO,"10 (12), 1:42","Dec 1, 2000","35 years, 321 days","The Venetian Las Vegas, Paradise, Nevada, U.S.",Retained IBF middleweight title
41,Win,37–2–1 (1),Syd Vanderpool,UD,12,"May 13, 2000","35 years, 119 days","Conseco Fieldhouse, Indianapolis, Indiana, U.S.",Retained IBF middleweight title
40,Win,36–2–1 (1),Antwun Echols,UD,12,"Dec 12, 1999","34 years, 331 days","Miccosukee Resort & Gaming, Miami, Florida, U.S.",Retained IBF middleweight title
39,Win,35–2–1 (1),Robert Allen,TKO,"7 (12), 1:18","Feb 6, 1999","34 years, 22 days","Convention Center, Washington, D.C., U.S.",Retained IBF middleweight title
38,NC,34–2–1 (1),Robert Allen,NC,"4 (12), 2:57","Aug 28, 1998","33 years, 225 days","Las Vegas Hilton, Winchester, Nevada, U.S.",IBF middleweight title at stake; Hopkins unable to continue after the referee accidentally pushed him out of the ring
37,Win,34–2–1,Simon Brown,TKO,"6 (12), 1:00","Jan 31, 1998","33 years, 16 days","Etess Arena, Atlantic City, New Jersey, U.S.",Retained IBF middleweight title
36,Win,33–2–1,Andrew Council,UD,12,"Nov 18, 1997","32 years, 307 days","The Show Place Arena, Upper Marlboro, Maryland, U.S.",Retained IBF middleweight title
35,Win,32–2–1,Glen Johnson,TKO,"11 (12), 1:23","Jul 20, 1997","32 years, 186 days","Fantasy Springs Resort Casino, Indio, California, U.S.",Retained IBF middleweight title
34,Win,31–2–1,John David Jackson,TKO,"7 (12), 2:22","Apr 19, 1997","32 years, 94 days","Municipal Memorial Auditorium, Shreveport, Louisiana, U.S.",Retained IBF middleweight title
33,Win,30–2–1,William Bo James,TKO,"11 (12), 2:02","Jul 16, 1996","31 years, 183 days","Resorts Casino Hotel, Atlantic City, New Jersey, U.S.",Retained IBF middleweight title
32,Win,29–2–1,Joe Lipsey,KO,"4 (12), 2:50","Mar 16, 1996","31 years, 61 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained IBF middleweight title
31,Win,28–2–1,Steve Frank,TKO,"1 (12), 0:24","Jan 27, 1996","31 years, 12 days","Veterans Memorial Coliseum, Phoenix, Arizona, U.S.",Retained IBF middleweight title
30,Win,27–2–1,Segundo Mercado,TKO,"7 (12), 1:10","Apr 29, 1995","30 years, 104 days","USAir Arena, Landover, Maryland, U.S.",Won vacant IBF middleweight title
29,Draw,26–2–1,Segundo Mercado,SD,12,"Dec 17, 1994","29 years, 336 days","Coliseo General Rumiñahui, Quito, Ecuador",For vacant IBF middleweight title
28,Win,26–2,Lupe Aquino,UD,12,"May 17, 1994","29 years, 122 days","Resorts Casino Hotel, Atlantic City, New Jersey, U.S.",Retained USBA middleweight title
27,Win,25–2,Melvin Wynn,TKO,"3 (10), 0:48","Feb 26, 1994","29 years, 42 days","Sands, Atlantic City, New Jersey, U.S.",
26,Win,24–2,Wendall Hall,TKO,"3 (12), 0:28","Nov 23, 1993","28 years, 312 days","The Blue Horizon, Philadelphia, Pennsylvania, U.S.",Retained USBA middleweight title
25,Win,23–2,Roy Ritchie,TKO,"7 (12), 1:47","Aug 3, 1993","28 years, 200 days","Riviera, Winchester, Nevada, U.S.",Retained USBA middleweight title
24,Loss,22–2,Roy Jones Jr.,UD,12,"May 22, 1993","28 years, 127 days","Robert F. Kennedy Memorial Stadium, Washington, D.C., U.S.",For vacant IBF middleweight title
23,Win,22–1,Gilbert Baptist,UD,12,"Feb 16, 1993","28 years, 32 days","McNichols Sports Arena, Denver, Colorado, U.S.",Retained USBA middleweight title
22,Win,21–1,Wayne Powell,TKO,"1 (12), 0:21","Dec 4, 1992","27 years, 324 days","Resorts Casino Hotel, Atlantic City, New Jersey, U.S.",Won vacant USBA middleweight title
21,Win,20–1,Eric Rhinehart,KO,"1 (10), 1:47","Sep 14, 1992","27 years, 243 days","Eli's Pier 34, Philadelphia, Pennsylvania, U.S.",
20,Win,19–1,James Stokes,KO,"1 (10), 1:44","Aug 28, 1992","27 years, 226 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
19,Win,18–1,Aníbal Miranda,PTS,10,"May 21, 1992","27 years, 127 days","Cirque d'hiver, Paris, France",
18,Win,17–1,Randy Smith,UD,10,"Apr 3, 1992","27 years, 79 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
17,Win,16–1,Dennis Milton,RTD,"4 (10), 3:00","Jan 31, 1992","27 years, 16 days","The Blue Horizon, Philadelphia, Pennsylvania, U.S.",
16,Win,15–1,Willie Kemp,UD,10,"Dec 13, 1991","26 years, 332 days","Convention Hall, Atlantic City, New Jersey, U.S.",
15,Win,14–1,David McCluskey,TKO,7 (10),"Nov 26, 1991","26 years, 315 days","The Blue Horizon, Philadelphia, Pennsylvania, U.S.",
14,Win,13–1,Ralph Moncrief,TKO,"1 (10), 1:28","Sep 23, 1991","26 years, 251 days","The Blue Horizon, Philadelphia, Pennsylvania, U.S.",
13,Win,12–1,Danny Mitchell,TKO,"1 (8), 3:00","Jul 9, 1991","26 years, 175 days","The Blue Horizon, Philadelphia, Pennsylvania, U.S.",
12,Win,11–1,Pedro Márquez,TKO,1 0:56,"Jun 20, 1991","26 years, 157 days","Aspen Hotel, Parsippany, New Jersey, U.S.",
11,Win,10–1,Steve Langley,TKO,"3 (6), 1:10","Mar 18, 1991","26 years, 62 days","The Mirage, Paradise, Nevada, U.S.",
10,Win,9–1,Richard Quiles,KO,1 (6),"Feb 26, 1991","26 years, 42 days","National Guard Armory, Philadelphia, Pennsylvania, U.S.",
9,Win,8–1,Mike Sapp,TKO,"1 (8), 0:35","Nov 17, 1990","25 years, 306 days","Lee County Civic Center, Fort Myers, Florida, U.S.",
8,Win,7–1,Darren Oliver,TKO,1 (?),"Oct 20, 1990","25 years, 269 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
7,Win,6–1,Percy Harris,UD,6,"Aug 5, 1990","25 years, 202 days","Convention Hall, Atlantic City, New Jersey, U.S.",
6,Win,5–1,Khalif Shabazz,KO,"1 (6), 0:36","Jun 30, 1990","25 years, 166 days","Trump's Castle, Atlantic City, New Jersey, U.S.",
5,Win,4–1,Jouvin Mercado,TKO,"2 (4), 0:43","May 31, 1990","25 years, 136 days","War Memorial Auditorium, Rochester, New York, U.S.",
4,Win,3–1,Eddie Tyler,TKO,1 (6),"May 18, 1990","25 years, 123 days","Sands, Atlantic City, New Jersey, U.S.",
3,Win,2–1,Keith Gray,TKO,1 (?),"Apr 26, 1990","25 years, 101 days","The Blue Horizon, Philadelphia, Pennsylvania, U.S.",
2,Win,1–1,Greg Paige,UD,4,"Feb 22, 1990","25 years, 38 days","The Blue Horizon, Philadelphia, Pennsylvania, U.S.",
1,Loss,0–1,Clinton Mitchell,MD,4,"Oct 11, 1988","23 years, 270 days","Resorts Casino Hotel, Atlantic City, New Jersey, U.S.",
