No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
13,Win,13–0,Mike Brothers,TKO,3 (10),"Dec 8, 1986","24 years, 50 days","Paris, France",
12,Win,12–0,Dwight Muhammad Qawi,SD,15,"Jul 12, 1986","23 years, 266 days","Omni Coliseum, Atlanta, Georgia, U.S.",Won WBA cruiserweight title
11,Win,11–0,Terry Mims,KO,"5 (10), 1:12","May 28, 1986","23 years, 211 days","Metairie, Louisiana, U.S.",
10,Win,10–0,Jesse Shelby,KO,3 (10),"Apr 6, 1986","23 years, 169 days","Corpus Christi, Texas, U.S.",
9,Win,9–0,Chisanda Mutti,TKO,"3 (10), 1:37","Mar 1, 1986","23 years, 133 days","Host Resort, Lancaster, Pennsylvania, U.S.",
8,Win,8–0,Anthony Davis,TKO,"4 (10), 1:31","Dec 21, 1985","23 years, 63 days","Pavilion Convention Center, Virginia Beach, Virginia, U.S.",
7,Win,7–0,Jeff Meachem,TKO,"5 (8), 1:02","Oct 30, 1985","23 years, 11 days","Broadway by the Bay Theater, Atlantic City, New Jersey, U.S.",
6,Win,6–0,Rick Myers,TKO,"1 (8), 3:00","Aug 29, 1985","22 years, 314 days","Omni Coliseum, Atlanta, Georgia, U.S.",
5,Win,5–0,Tyrone Booze,UD,8,"Jul 20, 1985","22 years, 274 days","Scope, Norfolk, Virginia, U.S.",
4,Win,4–0,Mark Rivera,TKO,"2 (8), 2:46","Apr 20, 1985","22 years, 183 days","Memorial Coliseum, Corpus Christi, Texas, U.S.",
3,Win,3–0,Fred Brown,TKO,"1 (6), 1:56","Mar 13, 1985","22 years, 145 days","Scope, Norfolk, Virginia, U.S.",
2,Win,2–0,Eric Winbush,UD,6,"Jan 20, 1985","22 years, 93 days","Broadway by the Bay Theater, Atlantic City, New Jersey, U.S.",
1,Win,1–0,Lionel Byarm,UD,6,"Nov 15, 1984","22 years, 27 days","Madison Square Garden, New York City, New York, U.S.",
