No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
45,Draw,42–2–1,Manny Pacquiao,SD,12,"May 8, 2004","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBA (Unified) and IBF featherweight titles; For The Ring featherweight title
44,Win,42–2,Derrick Gainer,TD,"7 (12), 2:37","Nov 1, 2003","Van Andel Arena, Grand Rapids, Michigan, U.S.",Retained IBF featherweight title; Won WBA (Unified) featherweight title; Unanimous TD: Gainer cut from an accidental head clash
43,Win,41–2,Marcos Licona,TKO,"9 (10), 3:00","Aug 16, 2003","Mohegan Sun Arena, Montville, Connecticut, U.S.",
42,Win,40–2,Manuel Medina,TKO,"7 (12), 1:18","Feb 1, 2003","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Won vacant IBF featherweight title
41,Win,39–2,Hector Javier Márquez,TKO,"10 (10), 0:28","Jun 21, 2002","The Orleans, Paradise, Nevada, U.S.",
40,Win,38–2,Robbie Peden,RTD,"10 (12), 3:00","Mar 9, 2002","Palumbo Center, Pittsburgh, Pennsylvania, U.S.",Won NABF and vacant USBA featherweight titles
39,Win,37–2,Johnny Walker,TKO,"1 (10), 0:56","Oct 19, 2001","Coeur d'Alene Casino Resort Hotel, Worley, Idaho, U.S.",
38,Win,36–2,Julio Gamboa,TKO,"7 (10), 3:00","Aug 19, 2001","Stateline Casino, Wendover, Utah, U.S.",
37,Win,35–2,Baby Lorona Jr.,TKO,"2 (10), 2:50","Apr 1, 2001","Peppermill, Reno, Nevada, U.S.",
36,Win,34–2,Sean Fletcher,TKO,"7 (10), 1:54","Feb 11, 2001","Peppermill, Reno, Nevada, U.S.",
35,Win,33–2,Reynante Jamili,KO,"3 (10), 1:14","Oct 22, 2000","Peppermill, Reno, Nevada, U.S.",
34,Win,32–2,Daniel Jiménez,RTD,"7 (10), 3:00","Aug 27, 2000","Plaza Hotel & Casino, Las Vegas, Nevada, U.S.",
33,Win,31–2,Roque Cassiani,UD,12,"May 20, 2000","Caesars Tahoe, Stateline, Nevada, U.S.",Won vacant NABO featherweight title
32,Win,30–2,Remigio Molina,TKO,"8 (10), 2:01","Nov 20, 1999","The Joint, Paradise, Nevada, U.S.",
31,Loss,29–2,Freddie Norwood,UD,12,"Sep 11, 1999","Mandalay Bay Events Center, Paradise, Nevada, U.S.",For WBA featherweight title
30,Win,29–1,Wilfredo Vargas,KO,"2 (10), 2:02","May 10, 1999","Great Western Forum, Inglewood, California, U.S.",
29,Win,28–1,Jose de Jesus Garcia,KO,"1 (10), 1:54","Feb 20, 1999","Spotlight 29 Casino, Coachella, California, U.S.",
28,Win,27–1,Francisco Arreola,TKO,"3 (12), 2:24","Oct 24, 1998","Tropicana, Paradise, Nevada, U.S.",Retained NABO featherweight title
27,Win,26–1,Enrique Jupiter,TKO,"8 (12), 1:09","Aug 22, 1998","Tropicana, Paradise, Nevada, U.S.",Retained NABO featherweight title
26,Win,25–1,Juan Gerardo Cabrera,TKO,"4 (12), 3:00","Apr 20, 1998","Tropicana, Paradise, Nevada, U.S.",Retained NABO featherweight title
25,Win,24–1,Luis Samudio,TKO,"9 (10), 2:18","Mar 16, 1998","Great Western Forum, Inglewood, California, U.S.",
24,Win,23–1,Alfred Kotey,UD,12,"Nov 22, 1997","Tropicana Las Vegas, Paradise, Nevada, U.S.",Retained NABO featherweight title
23,Win,22–1,Vincent Howard,TKO,12,"Sep 27, 1997","Caesars Tahoe, Stateline, Nevada, U.S.",Retained NABO featherweight title
22,Win,21–1,Catalino Becerra,TKO,"7 (12), 1:37","Jul 14, 1997","Great Western Forum, Inglewood, California, U.S.",Retained NABO featherweight title
21,Win,20–1,Agapito Sánchez,UD,12,"Apr 21, 1997","Great Western Forum, Inglewood, California, U.S.",Retained NABO featherweight title
20,Win,19–1,Cedric Mingo,RTD,"10 (12), 3:00","Feb 3, 1997","Arrowhead Pond, Anaheim, California, U.S.",Won vacant NABO featherweight title
19,Win,18–1,Rodrigo Valenzuela,KO,"8 (10), 3:00","Dec 9, 1996","Great Western Forum, Inglewood, California, U.S.",
18,Win,17–1,Darryl Pinckney,UD,10,"Oct 19, 1996","Caesars Tahoe, Stateline, Nevada, U.S.",
17,Win,16–1,Freddy Cruz,UD,10,"Jul 8, 1996","Great Western Forum, Inglewood, California, U.S.",
16,Win,15–1,Julio Gervacio,KO,"8 (10), 0:35","Apr 29, 1996","Arrowhead Pond, Anaheim, California, U.S.",
15,Win,14–1,Hector Ulises Chong,KO,"4 (10), 1:42","Mar 4, 1996","Great Western Forum, Inglewood, California, U.S.",
14,Win,13–1,Julian Wheeler,TKO,"10 (10), 2:55","Nov 6, 1995","Great Western Forum, Inglewood, California, U.S.",
13,Win,12–1,Miguel Rodriguez,TKO,"1 (10), 2:30","Sep 25, 1995","Great Western Forum, Inglewood, California, U.S.",
12,Win,11–1,Julio Cesar Portillo,KO,"6 (10), 2:10","Jul 10, 1995","Great Western Forum, Inglewood, California, U.S.",
11,Win,10–1,Julio Sanchez Leon,UD,10,"Apr 24, 1995","Great Western Forum, Inglewood, California, U.S.",
10,Win,9–1,Martin Ochoa,TKO,1,"Jan 30, 1995","Great Western Forum, Inglewood, California, U.S.",
9,Win,8–1,Israel Gonzalez,TKO,"4 (8), 0:34","Dec 3, 1994","Caesars Palace, Paradise, Nevada, U.S.",
8,Win,7–1,Jose Luis Montes,KO,2,"Nov 12, 1994","Plaza de Toros, Mexico City, Mexico",
7,Win,6–1,Israel Flores,UD,4,"Oct 1, 1994","Mexico City, Mexico",
6,Win,5–1,Gregorio Silva,TKO,2,"Aug 27, 1994","Mexico City, Mexico",
5,Win,4–1,Roman Poblano,UD,6,"May 7, 1994","Mexico City, Mexico",
4,Win,3–1,Isaac Cortes,TKO,5 (6),"Oct 1, 1993","Mexico City, Mexico",
3,Win,2–1,Israel Flores,TKO,2,"Sep 18, 1993","Mexico City, Mexico",
2,Win,1–1,Javier Quiroz,TKO,3,"Jun 26, 1993","Mexico City, Mexico",
1,Loss,0–1,Javier Duran,DQ,1,"May 29, 1993","Mexico City, Mexico",
