No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
20,Win,20–0,Maurice Blocker,KO,"2 (12), 1:49","Jun 19, 1993","Sports Arena, San Diego, California, U.S.",Won IBF welterweight title
19,Win,19–0,Colin Tomlinson,KO,"1 (10), 2:41","May 8, 1993","Condado, San Juan, Puerto Rico",
18,Win,18–0,Pedro Aguirre,TKO,4 (10),"Feb 20, 1993","Estadio Azteca, Mexico City, Mexico",
17,Win,17–0,Henry Hughes,TKO,1 (10),"Feb 13, 1993","Roberto Clemente Coliseum, San Juan, Puerto Rico",
16,Win,16–0,Alberto de las Mercedes Cortes,TKO,3 (10),"Oct 3, 1992","Cirque d'hiver, Paris, France",
15,Win,15–0,Joseph Alexander,KO,1 (10),"Jul 18, 1992","San Juan, Puerto Rico",
14,Win,14–0,Raul Gonzalez,TKO,4 (10),"May 3, 1992","Cayey, Puerto Rico",
13,Win,13–0,Jake Rodriguez,UD,10,"Dec 6, 1991","Sands Hotel, Bayamón, Puerto Rico",
12,Win,12–0,Lorenzo Bouie,TKO,"1 (10), 2:40","Oct 25, 1991","Mahi Temple Shriners Auditorium, Miami, Florida, U.S.",
11,Win,11–0,Darren McGrew,UD,10,"Jul 10, 1991","Caribe Hilton Hotel, San Juan, Puerto Rico",
10,Win,10–0,Manuel Salas,TKO,"5 (10), 2:27","Jun 21, 1991","Tamiami Park, Miami, Florida, U.S.",
9,Win,9–0,Felix Vasquez,TKO,3 (8),"May 1, 1991","San Juan, Puerto Rico",
8,Win,8–0,Noe Rivera,TKO,"1 (6), 2:54","Mar 13, 1991","San Juan, Puerto Rico",
7,Win,7–0,Luis Felipe Perez,TKO,"2 (6), 2:01","Nov 13, 1990","El San Juan Hotel & Casino, San Juan, Puerto Rico",
6,Win,6–0,Valentin Ocasio,UD,6,"Oct 3, 1990","El San Juan Hotel & Casino, San Juan, Puerto Rico",
5,Win,5–0,Jose Vilarino,KO,2 (6),"Sep 6, 1990","El San Juan Hotel & Casino, San Juan, Puerto Rico",
4,Win,4–0,Omar Victoriano Alegre,TKO,5 (8),"Jul 27, 1990","Outdoor Arena, Capo d'Orlando, Italy",
3,Win,3–0,William Lopez,TKO,1 (4),"Jun 21, 1990","El San Juan Resort & Casino, San Juan, Puerto Rico",
2,Win,2–0,Israel Ponce,TKO,2 (4),"Apr 7, 1990","Miramar, San Juan, Puerto Rico",
1,Win,1–0,Angel Romero,KO,2 (4),"Mar 10, 1990","Miramar, San Juan, Puerto Rico",
