No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
43,Win,36–5 (2),Ryan Davis,UD,12,"Nov 17, 2007","Casablanca Casino, Providenciales, Turks and Caicos Islands",Won vacant IBC light middleweight title
42,Win,35–5 (2),Edwin Vasquez,UD,10,"Sep 7, 2007","Hard Rock Hotel and Casino, Biloxi, Mississippi, U.S.",
41,Loss,34–5 (2),Miguel Cotto,TKO,"11 (12), 0:49","Jun 9, 2007","Madison Square Garden, New York City, New York, U.S.",For WBA welterweight title
40,NC,34–4 (2),Rubén Galván,NC,"1 (10), 1:11","Apr 13, 2007","Fitzgeralds Casino and Hotel, Tunica Resorts, Mississippi, U.S.",Galván cut from an accidental elbow
39,Loss,34–4 (1),Floyd Mayweather Jr.,UD,12,"Apr 8, 2006","Thomas & Mack Center, Paradise, Nevada, U.S.",Lost IBF welterweight title; For vacant IBO welterweight title
38,Loss,34–3 (1),Carlos Baldomir,UD,12,"Jan 7, 2006","Madison Square Garden, New York City, New York, U.S.",Lost WBC and The Ring welterweight titles
37,Win,34–2 (1),Cosme Rivera,TKO,"3 (12), 2:11","May 14, 2005","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Retained WBA (Undisputed), WBC, IBF, and The Ring welterweight titles"
36,Win,33–2 (1),Cory Spinks,TKO,"9 (12), 2:49","Feb 5, 2005","Savvis Center, St. Louis, Missouri, U.S.","Won WBA (Undisputed), WBC, IBF, and The Ring welterweight titles"
35,Win,32–2 (1),Wayne Martell,TKO,"1 (12), 2:08","Oct 2, 2004","Madison Square Garden, New York City, New York, U.S.",Retained WBO Inter-Continental welterweight title
34,Win,31–2 (1),Rafael Pineda,SD,12,"May 15, 2004","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Won vacant WBO Inter-Continental welterweight title
33,Loss,30–2 (1),Cory Spinks,UD,12,"Apr 10, 2004","Mandalay Bay Events Center, Paradise, Nevada, U.S.","For WBA (Undisputed), WBC, IBF, and The Ring welterweight titles"
32,Win,30–1 (1),Jaime Rangel,KO,"1 (12), 1:12","Dec 13, 2003","Boardwalk Hall, Atlantic City, New Jersey, U.S.",Retained WBO light welterweight title
31,Win,29–1 (1),DeMarcus Corley,SD,12,"Jul 12, 2003","The Orleans, Paradise, Nevada, U.S.",Won WBO light welterweight title
30,Win,28–1 (1),Omar Gabriel Weis,UD,10,"Jul 13, 2002","Sam's Town Gambling Hall, Kansas City, Missouri, U.S.",
29,Loss,27–1 (1),Kostya Tszyu,TKO,"2 (12), 2:59","Nov 3, 2001","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Lost IBF light welterweight title; For WBA (Super), WBC, and vacant The Ring light welterweight titles"
28,Win,27–0 (1),Allan Vester,KO,"3 (12), 2:58","Jun 23, 2001","Mohegan Sun Arena, Montville, Connecticut, U.S.",Retained IBF light welterweight title
27,Win,26–0 (1),Reggie Green,TKO,"10 (12), 1:29","Jan 13, 2001","Mohegan Sun Arena, Montville, Connecticut, U.S.",Retained IBF light welterweight title
26,Win,25–0 (1),Hector Quiroz,TKO,"8 (12), 1:56","Oct 20, 2000","The Palace, Auburn Hills, Michigan, U.S.",Retained IBF light welterweight title
25,Win,24–0 (1),Terron Millett,TKO,"4 (12), 2:47","Aug 5, 2000","Mohegan Sun Arena, Montville, Connecticut, U.S.",Retained IBF light welterweight title
24,Win,23–0 (1),Junior Witter,UD,12,"Jun 24, 2000","Hampden Park, Glasgow, Scotland",Retained IBF light welterweight title
23,Win,22–0 (1),Jan Piet Bergman,KO,"4 (12), 2:50","Feb 12, 2000","Mohegan Sun Arena, Montville, Connecticut, U.S.",Won vacant IBF light welterweight title
22,Win,21–0 (1),David Sample,TKO,"1 (10), 2:27","Jul 9, 1999","Cape Cod Melody Tent, Hyannis, Massachusetts, U.S.",
21,Win,20–0 (1),Juan Torres,KO,"1 (10), 1:26","Apr 16, 1999","Grand Casino, Tunica Resorts, Mississippi, U.S.",
20,Win,19–0 (1),Wilfredo Negron,KO,"4 (12), 1:44","Jan 16, 1999","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won IBF interim light welterweight title
19,Win,18–0 (1),Darryl Tyson,TKO,"11 (12), 2:39","Oct 15, 1998","Hilton, Washington, D.C., U.S.",Retained USBA interim light welterweight title
18,Win,17–0 (1),Otilio Villarreal,TKO,"2 (10), 3:00","Jul 12, 1998","Cape Cod Melody Tent, Hyannis, Massachusetts, U.S.",
17,Win,16–0 (1),Micky Ward,UD,12,"Jun 7, 1998","Miccosukee Resort & Gaming, Miami, Florida, U.S.",Won vacant USBA interim light welterweight title
16,Win,15–0 (1),Angel Beltre,KO,"2 (8), 2:08","Apr 14, 1998","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
15,NC,14–0 (1),Esteban Flores,NC,"3 (8), 1:24","Mar 10, 1998","Armory, Pikesville, Maryland, U.S.","Originally TD after Flores was cut from an accidental head clash, later ruled NC"
14,Win,14–0,Steve Valdez,TKO,"1 (8), 3:00","Jan 17, 1998","Boardwalk Hall, Atlantic City, New Jersey, U.S.",
13,Win,13–0,Anthony Johnson,UD,8,"Dec 13, 1997","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
12,Win,12–0,Ricardo Vazquez,TKO,"1 (8), 1:35","Nov 7, 1997","Bally's Las Vegas, Paradise, Nevada, U.S.",
11,Win,11–0,Rick Edson,UD,6,"Oct 17, 1997","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",
10,Win,10–0,James Salava,TKO,1 (6),"Oct 3, 1997","Tropicana Casino & Resort, Atlantic City, New Jersey, U.S.",
9,Win,9–0,Cesar Castro,KO,1 (6),"Aug 24, 1997","The Roxy, Boston, Massachusetts, U.S.",
8,Win,8–0,Omar Vasquez,UD,4,"Jun 10, 1997","Travis County Expo Center, Austin, Texas, U.S.",
7,Win,7–0,Troy Cain,UD,6,"May 4, 1997","Circus Maximus Showroom, Atlantic City, New Jersey, U.S.",
6,Win,6–0,Paul Denard,TKO,"4 (6), 1:28","Apr 5, 1997","Bally's Park Place, Atlantic City, New Jersey, U.S.",
5,Win,5–0,Chris Slaughter,KO,1 (10),"Feb 22, 1997","Convention Hall, Atlantic City, New Jersey, U.S.",
4,Win,4–0,John Scalzi,TKO,1 (4),"Jan 24, 1997","Convention Hall, Atlantic City, New Jersey, U.S.",
3,Win,3–0,Jose Luis Torres,TKO,1 (4),"Dec 14, 1996","Convention Hall, Atlantic City, New Jersey, U.S.",
2,Win,2–0,Pablo Tejada,TKO,4 (4),"Oct 4, 1996","Madison Square Garden, New York City, New York, U.S.",
1,Win,1–0,Michael Johnson,TKO,"2 (4), 0:36","Sep 20, 1996","James L. Knight Center, Miami, Florida, U.S.",
