No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
44,Win,43–1,Eric Harding,RTD,"10 (12), 3:00","Sep 9, 2000","31 years, 237 days","New Orleans Arena, New Orleans, Louisiana, U.S.","Retained WBA, WBC, IBF and IBO light heavyweight titles"
43,Win,42–1,Richard Hall,TKO,"11 (12), 1:41","May 13, 2000","31 years, 118 days","Conseco Fieldhouse, Indianapolis, Indiana, U.S.","Retained WBA, WBC, IBF and IBO light heavyweight titles"
42,Win,41–1,David Telesco,UD,12,"Jan 15, 2000","30 years, 364 days","Radio City Music Hall, New York City, New York, U.S.","Retained WBA, WBC, IBF and IBO light heavyweight titles"
41,Win,40–1,Reggie Johnson,UD,12,"Jun 5, 1999","30 years, 140 days","Grand Casino, Biloxi, Mississippi, U.S.",Retained WBA and WBC light heavyweight titles; Won IBF light heavyweight title
40,Win,39–1,Richard Frazier,TKO,"2 (12), 2:59","Jan 9, 1999","29 years, 358 days","Civic Center, Pensacola, Florida, U.S.",Retained WBA and WBC light heavyweight titles
39,Win,38–1,Otis Grant,TKO,"10 (12), 1:18","Nov 14, 1998","29 years, 302 days","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",Retained WBA and WBC light heavyweight titles
38,Win,37–1,Lou Del Valle,UD,12,"Jul 18, 1998","29 years, 183 days","Madison Square Garden, New York City, New York, U.S.",Retained WBC light heavyweight title; Won WBA light heavyweight title
37,Win,36–1,Virgil Hill,KO,"4 (12), 1:10","Apr 25, 1998","29 years, 99 days","Coast Coliseum, Biloxi, Mississippi, U.S.",
36,Win,35–1,Montell Griffin,KO,"1 (12), 2:31","Aug 7, 1997","28 years, 203 days","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",Won WBC light heavyweight title
35,Loss,34–1,Montell Griffin,DQ,"9 (12), 2:27","Mar 21, 1997","28 years, 64 days","Etess Arena, Atlantic City, New Jersey, U.S.",Lost WBC light heavyweight title; Jones disqualified for hitting Griffin after a knockdown
34,Win,34–0,Mike McCallum,UD,12,"Nov 22, 1996","27 years, 311 days","Ice Palace, Tampa, Florida, U.S.",Won vacant WBC interim light heavyweight title
33,Win,33–0,Bryant Brannon,TKO,"2 (12), 2:23","Oct 4, 1996","27 years, 262 days","Madison Square Garden, New York City, New York, U.S.",Retained IBF super middleweight title
32,Win,32–0,Éric Lucas,RTD,"11 (12), 3:00","Jun 15, 1996","27 years, 151 days","Coliseum, Jacksonville, Florida, U.S.",Retained IBF super middleweight title
31,Win,31–0,Merqui Sosa,TKO,"2 (12), 2:36","Jan 12, 1996","26 years, 361 days","Madison Square Garden, New York City, New York, U.S.",
30,Win,30–0,Tony Thornton,TKO,"3 (12), 0:45","Sep 30, 1995","26 years, 257 days","Civic Center, Pensacola, Florida, U.S.",Retained IBF super middleweight title
29,Win,29–0,Vinny Pazienza,TKO,"6 (12), 2:58","Jun 24, 1995","26 years, 159 days","Convention Hall, Atlantic City, New Jersey, U.S.",Retained IBF super middleweight title
28,Win,28–0,Antoine Byrd,TKO,"1 (12), 2:06","Mar 18, 1995","26 years, 61 days","Civic Center, Pensacola, Florida, U.S.",Retained IBF super middleweight title
27,Win,27–0,James Toney,UD,12,"Nov 18, 1994","25 years, 306 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won IBF super middleweight title
26,Win,26–0,Thomas Tate,TKO,"2 (12), 0:30","May 27, 1994","25 years, 131 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained IBF middleweight title
25,Win,25–0,Danny Garcia,KO,"6 (10), 2:59","Mar 22, 1994","25 years, 65 days","University of West Florida, Pensacola, Florida, U.S.",
24,Win,24–0,Fermin Chirino,UD,10,"Nov 30, 1993","24 years, 318 days","Civic Center, Pensacola, Florida, U.S.",
23,Win,23–0,Thulani Malinga,KO,"6 (10), 1:57","Aug 14, 1993","24 years, 210 days","Casino Magic, Bay St. Louis, Mississippi, U.S.",
22,Win,22–0,Bernard Hopkins,UD,12,"May 22, 1993","24 years, 126 days","Robert F. Kennedy Memorial Stadium, Washington, D.C., U.S.",Won vacant IBF middleweight title
21,Win,21–0,Glenn Wolfe,TKO,"1 (10), 2:23","Feb 13, 1993","24 years, 28 days","Caesars Palace, Paradise, Nevada, U.S.",
20,Win,20–0,Percy Harris,TKO,"4 (12), 3:00","Dec 5, 1992","23 years, 324 days","Etess Arena, Atlantic City, New Jersey, U.S.",Won vacant WBC Continental Americas super middleweight title
19,Win,19–0,Glenn Thomas,TKO,"8 (10), 3:00","Aug 18, 1992","23 years, 215 days","Bayfront Auditorium, Pensacola, Florida, U.S.",
18,Win,18–0,Jorge Castro,UD,10,"Jun 30, 1992","23 years, 166 days","Civic Center, Pensacola, Florida, U.S.",
17,Win,17–0,Art Serwano,KO,"1 (10), 1:40","Apr 3, 1992","23 years, 78 days","Convention Center, Reno, Nevada, U.S.",
16,Win,16–0,Jorge Vaca,KO,"1 (10), 1:45","Jan 10, 1992","22 years, 359 days","Paramount Theatre, New York City, New York, U.S.",
15,Win,15–0,Lester Yarbrough,KO,9 (10),"Aug 31, 1991","22 years, 227 days","Interstate Fairgrounds, Pensacola, Florida, U.S.",
14,Win,14–0,Kevin Daigle,TKO,2 (10),"Aug 3, 1991","22 years, 199 days","Interstate Fairgrounds, Pensacola, Florida, U.S.",
13,Win,13–0,Eddie Evans,TKO,3 (10),"Apr 13, 1991","22 years, 87 days","Interstate Fairgrounds, Pensacola, Florida, U.S.",
12,Win,12–0,Ricky Stackhouse,KO,"1 (10), 0:46","Jan 31, 1991","22 years, 15 days","Bayfront Auditorium, Pensacola, Florida, U.S.",
11,Win,11–0,Reggie Miller,TKO,5 (10),"Nov 8, 1990","21 years, 296 days","Bayfront Auditorium, Pensacola, Florida, U.S.",
10,Win,10–0,Rollin Williams,KO,"4 (10), 2:56","Sep 25, 1990","21 years, 252 days","Bayfront Auditorium, Pensacola, Florida, U.S.",
9,Win,9–0,Tony Waddles,KO,"1 (10), 2:02","Jul 14, 1990","21 years, 179 days","Bayfront Auditorium, Pensacola, Florida, U.S.",Waddles was billed as Derwin Richards
8,Win,8–0,Ron Johnson,KO,"2 (10), 2:28","May 11, 1990","21 years, 115 days","Bayfront Auditorium, Pensacola, Florida, U.S.",
7,Win,7–0,Knox Brown,TKO,"3 (10), 2:20","Mar 28, 1990","21 years, 71 days","Interstate Fairgrounds, Pensacola, Florida, U.S.",
6,Win,6–0,Billy Mitchem,TKO,"2 (8), 2:57","Feb 28, 1990","21 years, 43 days","Interstate Fairgrounds, Pensacola, Florida, U.S.",
5,Win,5–0,Joe Edens,KO,"2 (8), 2:05","Jan 8, 1990","20 years, 357 days","County Fairgrounds, Mobile, Alabama, U.S.",
4,Win,4–0,David McCluskey,TKO,"3 (8), 2:00","Nov 30, 1989","20 years, 318 days","Bayfront Auditorium, Pensacola, Florida, U.S.",
3,Win,3–0,Ron Amundsen,TKO,"7 (8), 2:43","Sep 3, 1989","20 years, 230 days","Civic Center, Pensacola, Florida, U.S.",
2,Win,2–0,Stephan Johnson,TKO,"8 (8), 2:04","Jun 11, 1989","20 years, 146 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
1,Win,1–0,Ricky Randall,TKO,"2 (8), 2:46","May 6, 1989","20 years, 110 days","Civic Center, Pensacola, Florida, U.S.",
