No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
33,Loss,31–2,Guillermo Rigondeaux,UD,12,"Apr 13, 2013","30 years, 148 days","Radio City Music Hall, New York City, New York, U.S.",Lost WBO and The Ring super bantamweight titles; For WBA (Super) super bantamweight title
32,Win,31–1,Jorge Arce,KO,"3 (12), 2:59","Dec 15, 2012","30 years, 29 days","Toyota Center, Houston, Texas, U.S.",Retained WBO and The Ring super bantamweight titles
31,Win,30–1,Toshiaki Nishioka,TKO,"9 (12), 1:54","Oct 13, 2012","29 years, 332 days","Home Depot Center, Carson, California, U.S.",Retained WBO super bantamweight title; Won vacant The Ring super bantamweight title
30,Win,29–1,Jeffrey Mathebula,UD,12,"Jul 7, 2012","29 years, 234 days","Home Depot Center, Carson, California, U.S.",Retained WBO super bantamweight title; Won IBF super bantamweight title
29,Win,28–1,Wilfredo Vázquez Jr.,SD,12,"Feb 4, 2012","29 years, 80 days","Alamodome, San Antonio, Texas, U.S.",Won vacant WBO super bantamweight title
28,Win,27–1,Omar Narváez,UD,12,"Oct 22, 2011","28 years, 340 days","The Theater at Madison Square Garden, New York City, New York, U.S.",Retained WBC and WBO bantamweight titles
27,Win,26–1,Fernando Montiel,TKO,"2 (12), 2:25","Feb 19, 2011","28 years, 95 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Won WBC and WBO bantamweight titles
26,Win,25–1,Volodymyr Sydorenko,KO,"4 (12), 1:48","Dec 4, 2010","28 years, 18 days","Honda Center, Anaheim, California, U.S.",Won vacant WBC Continental Americas bantamweight title
25,Win,24–1,Hernán Márquez,TKO,"8 (12), 2:59","Jul 10, 2010","27 years, 236 days","José Miguel Agrelot Coliseum, San Juan, Puerto Rico",Retained WBA interim super flyweight title
24,Win,23–1,Manuel Vargas,KO,"3 (12), 1:33","Feb 13, 2010","27 years, 89 days","Las Vegas Hilton, Winchester, Nevada, U.S.",Retained WBA interim super flyweight title
23,Win,22–1,Rafael Concepción,UD,12,"Aug 15, 2009","26 years, 272 days","The Joint, Paradise, Nevada, U.S.",Won vacant WBA interim super flyweight title
22,Win,21–1,Raúl Martínez,TKO,"4 (12), 2:42","Apr 19, 2009","26 years, 154 days","Araneta Coliseum, Quezon City, Philippines",Retained IBF and IBO flyweight titles
21,Win,20–1,Moruti Mthalane,TKO,"6 (12), 1:31","Nov 1, 2008","25 years, 351 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained IBF and IBO flyweight titles
20,Win,19–1,Luis Maldonado,TKO,"8 (12), 1:16","Dec 1, 2007","25 years, 15 days","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",Retained IBF and IBO flyweight titles
19,Win,18–1,Vic Darchinyan,TKO,"5 (12), 1:38","Jul 7, 2007","24 years, 233 days","The Arena at Harbor Yard, Bridgeport, Connecticut, U.S.",Won IBF and IBO flyweight titles
18,Win,17–1,Kevin Hudgins,TKO,"1 (8), 2:29","May 12, 2007","24 years, 177 days","Events Center, Reno, Nevada, U.S.",
17,Win,16–1,Oscar Andrade,UD,12,"Oct 7, 2006","23 years, 325 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained NABF super flyweight title
16,Win,15–1,Jose Luis Cardenas,TKO,"2 (8), 1:48","Jul 29, 2006","23 years, 255 days","Chumash Casino Resort, Santa Ynez, California, U.S.",
15,Win,14–1,Karen Harutyunyan,SD,10,"Jan 20, 2006","23 years, 65 days","Pechanga Resort & Casino, Temecula, California, U.S.",Won NABF super flyweight title
14,Win,13–1,Ilido Julio,UD,8,"Nov 5, 2005","22 years, 354 days","Caesars Tahoe, Stateline, Nevada, U.S.",
13,Win,12–1,Daniel Gonzalez,KO,"1 (8), 2:19","Oct 1, 2005","22 years, 319 days","Events Center, Reno, Nevada, U.S.",
12,Win,11–1,Larry Olvera,UD,6,"Jul 2, 2005","22 years, 228 days","Events Center, Reno, Nevada, U.S.",
11,Win,10–1,Paulino Villalobos,TKO,"6 (8), 3:00","May 13, 2005","22 years, 178 days","Civic Auditorium, San Jose, California, U.S.",
10,Win,9–1,Gilberto Bolanos,UD,8,"Nov 12, 2004","21 years, 362 days","Quiet Cannon, Montebello, California, U.S.",
9,Win,8–1,Ricardo Barrera,TKO,"4 (6), 3:00","Jun 18, 2004","21 years, 215 days","Quiet Cannon, Montebello, California, U.S.",
8,Win,7–1,Jorge Lopez,TKO,"1 (6), 1:43","Jun 27, 2003","20 years, 223 days","Mare Island Sports Center, Vallejo, California, U.S.",
7,Win,6–1,Mark Sales,UD,8,"Nov 2, 2002","19 years, 351 days","Joe Cantada Boxing Arena, Taguig, Philippines",
6,Win,5–1,Kaichon Sor Vorapin,KO,2 (12),"Sep 1, 2002","19 years, 289 days","University of Guam, Mangilao, Guam",Won vacant WBO Asia Pacific flyweight title
5,Win,4–1,Noel Alma,TKO,2 (4),"May 31, 2002","19 years, 196 days","Elorde Sports Complex, Parañaque, Philippines",
4,Win,3–1,Jose Luis Torres,TKO,"1 (4), 0:30","Jul 3, 2001","18 years, 229 days","Hyatt Regency Hotel, Monterey, California, U.S.",
3,Win,2–1,Saul Santoyo,UD,4,"Jun 8, 2001","18 years, 204 days","Hollywood Park Racetrack, Inglewood, California, U.S.",
2,Loss,1–1,Rosendo Sanchez,UD,5,"Mar 10, 2001","18 years, 114 days","Pacific Sports Center, Vallejo, California, U.S.",
1,Win,1–0,Jose Lazaro,KO,"1 (4), 1:46","Feb 22, 2001","18 years, 98 days","Hollywood Park Racetrack, Inglewood, California, U.S.",
