No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
88,Draw,87–0–1,Pernell Whitaker,MD,12,"Sep 10, 1993","Alamodome, San Antonio, Texas, U.S.",For WBC welterweight title
87,Win,87–0,Terrence Alli,TKO,"6 (12), 0:45","May 8, 1993","Thomas & Mack Center, Paradise, Nevada, U.S.",Retained WBC light welterweight title
86,Win,86–0,Silvio Walter Rojas,KO,"3 (10), 2:05","Apr 10, 1993","Auditorio Benito Juárez, Guadalajara, Mexico",
85,Win,85–0,Greg Haugen,TKO,"5 (12), 2:02","Feb 20, 1993","Estadio Azteca, Mexico City, Mexico",Retained WBC light welterweight title
84,Win,84–0,Marty Jakubowski,TKO,"6 (10), 0:18","Dec 13, 1992","The Mirage, Paradise, Nevada, U.S.",
83,Win,83–0,Bruce Pearson,KO,"3 (10), 1:30","Oct 31, 1992","Culiacán, Mexico",
82,Win,82–0,Héctor Camacho,UD,12,"Sep 12, 1992","Thomas & Mack Center, Paradise, Nevada, U.S.",Retained WBC light welterweight title
81,Win,81–0,Frankie Mitchell,TKO,"4 (12), 0:56","Aug 1, 1992","Las Vegas Hilton, Winchester, Nevada, U.S.",Retained WBC light welterweight title
80,Win,80–0,Angel Hernandez,TKO,"5 (12), 1:11","Apr 10, 1992","Toreo de Cuatro Caminos, Mexico City, Mexico",Retained WBC light welterweight title
79,Win,79–0,Juan Soberanes Ramos,KO,4 (10),"Mar 13, 1992","La Paz, Mexico",
78,Win,78–0,Ignacio Perdomo,RTD,"7 (10), 3:00","Dec 13, 1991","Hermosillo, Mexico",
77,Win,77–0,Jorge Alberto Melian,KO,"4 (10), 1:36","Nov 12, 1991","Mexico City, Mexico",
76,Win,76–0,Lonnie Smith,UD,12,"Sep 14, 1991","The Mirage, Paradise, Nevada, U.S.",Retained WBC light welterweight title
75,Win,75–0,Tommy Small,KO,"4 (10), 0:56","Apr 26, 1991","Estadio General Ángel Flores, Culiacán, Mexico",
74,Win,74–0,John Duplessis,TKO,"4 (12), 2:42","Mar 18, 1991","The Mirage, Paradise, Nevada, U.S.",Retained WBC and IBF light welterweight titles
73,Win,73–0,Kyung-Duk Ahn,TKO,"3 (12), 2:14","Dec 8, 1990","Convention Hall, Atlantic City, New Jersey, U.S.",Retained WBC and IBF light welterweight titles
72,Win,72–0,Jaime Balboa,TKO,"4 (10), 2:10","Nov 8, 1990","Mazatlán, Mexico",
71,Win,71–0,Russell Mosley,KO,3 (10),"Aug 18, 1990","Culiacán, Mexico",
70,Win,70–0,Akwei Addo,KO,2 (10),"Jul 5, 1990","Palacio de Deportes, Madrid, Spain",
69,Win,69–0,Meldrick Taylor,TKO,"12 (12), 2:58","Mar 17, 1990","Las Vegas Hilton, Winchester, Nevada, U.S.",Retained WBC light welterweight title; Won IBF light welterweight title
68,Win,68–0,Alberto de las Mercedes Cortes,TKO,"3 (12), 1:56","Dec 16, 1989","Palacio de los Deportes, Mexico City, Mexico",Retained WBC light welterweight title
67,Win,67–0,Sammy Fuentes,RTD,"10 (12), 3:00","Nov 18, 1989","Caesars Palace, Paradise, Nevada, U.S.",Retained WBC light welterweight title
66,Win,66–0,Ramon Aramburu,KO,3 (10),"Oct 27, 1989","Mazatlán, Mexico",
65,Win,65–0,Rodolfo Batta,KO,"1 (10), 2:56","Oct 9, 1989","Bullring by the Sea, Tijuana, Mexico",
64,Win,64–0,Kenny Vice,TKO,"3 (10), 1:57","Jul 30, 1989","Convention Hall, Atlantic City, New Jersey, U.S.",
63,Win,63–0,Roger Mayweather,RTD,"10 (12), 3:00","May 13, 1989","Great Western Forum, Inglewood, California, U.S.",Won WBC light welterweight title
62,Win,62–0,José Luis Ramírez,TD,"11 (12), 0:54","Oct 29, 1988","Las Vegas Hilton, Winchester, Nevada, U.S.",Retained WBA lightweight title; Won WBC and vacant The Ring lightweight titles; Unanimous TD after Ramírez was cut from an accidental head clash
61,Win,61–0,Vernon Buchanan,TKO,"3 (10), 2:02","Aug 1, 1988","Great Western Forum, Inglewood, California, U.S.",
60,Win,60–0,Rafael Limón,TKO,7 (10),"Jun 4, 1988","Mazatlán, Mexico",
59,Win,59–0,Rodolfo Aguilar,TKO,"6 (12), 1:13","Apr 16, 1988","Las Vegas Hilton, Winchester, Nevada, U.S.",Retained WBA lightweight title
58,Win,58–0,Nicky Perez,TKO,3 (10),"Mar 5, 1988","Tijuana, Mexico",
57,Win,57–0,Edwin Rosario,TKO,"11 (12), 2:38","Nov 21, 1987","Hilton, Winchester, Nevada, U.S.",Won WBA lightweight title
56,Win,56–0,Danilo Cabrera,UD,12,"Aug 21, 1987","Agua Caliente Racetrack, Tijuana, Mexico",Retained WBC super featherweight title
55,Win,55–0,Francisco Tomas Da Cruz,TKO,"3 (12), 2:31","Apr 18, 1987","Nîmes, France",Retained WBC super featherweight title
54,Win,54–0,Juan Laporte,UD,12,"Dec 12, 1986","Madison Square Garden, New York City, New York, U.S.",Retained WBC super featherweight title
53,Win,53–0,Rocky Lockridge,MD,12,"Aug 3, 1986","Stade Louis II, Fontvieille, Monaco",Retained WBC super featherweight title
52,Win,52–0,Refugio Rojas,TKO,"7 (12), 2:33","Jun 13, 1986","Madison Square Garden, New York City, New York, U.S.",Retained WBC super featherweight title
51,Win,51–0,Faustino Martires Barrios,TKO,"5 (12), 2:02","May 15, 1986","Stade Pierre de Coubertin, Paris, France",Retained WBC super featherweight title
50,Win,50–0,Roberto Collins Lindo,KO,"2 (10), 0:31","Mar 22, 1986","Riviera, Winchester, Nevada, U.S.",
49,Win,49–0,Jeff Bumpus,TD,"5 (10), 1:19","Dec 19, 1985","Grand Olympic Auditorium, Los Angeles, California, U.S.",Unanimous TD after Chávez was cut from an accidental head clash
48,Win,48–0,Dwight Pratchett,UD,12,"Sep 21, 1985","Riviera, Winchester, Nevada, U.S.",Retained WBC super featherweight title
47,Win,47–0,Roger Mayweather,TKO,"2 (12), 2:30","Jul 7, 1985","Riviera, Winchester, Nevada, U.S.",Retained WBC super featherweight title
46,Win,46–0,Ruben Castillo,TKO,"6 (12), 2:56","Apr 19, 1985","The Forum, Inglewood, California, U.S.",Retained WBC super featherweight title
45,Win,45–0,Manuel Hernandez,TKO,3 (10),"Jan 1, 1985","Toreo de Cuatro Caminos, Mexico City, Mexico",
44,Win,44–0,Mario Martínez,TKO,"8 (12), 3:00","Sep 13, 1984","Grand Olympic Auditorium, Los Angeles, California, U.S.",Won vacant WBC super featherweight title
43,Win,43–0,Delfino Mendoza,KO,3,"Jun 13, 1984","Hermosillo, Mexico",
42,Win,42–0,Ramon Avitia,KO,6,"May 4, 1984","Culiacán, Mexico",
41,Win,41–0,Armando Flores,KO,3,"Dec 30, 1983","Mazatlán, Mexico",
40,Win,40–0,Adriano Arreola,PTS,10,"Sep 1, 1983","Grand Olympic Auditorium, Los Angeles, California, U.S.",
39,Win,39–0,Benjamin Abarca,KO,5,"Jul 16, 1983","Culiacán, Mexico",
38,Win,38–0,Romero Sandoval,KO,"2 (10), 1:58","Jun 15, 1983","Grand Olympic Auditorium, Los Angeles, California, U.S.",
37,Win,37–0,Javier Fragoso,KO,4,"May 1, 1983","Roberto Clemente Coliseum, San Juan, Puerto Rico",
36,Win,36–0,Ernesto Herrera,KO,2,"Apr 4, 1983","Tijuana, Mexico",
35,Win,35–0,Othoniel Lopez,KO,4,"Feb 25, 1983","Ensenada, Mexico",
34,Win,34–0,Jerry Lewis,KO,6 (10),"Dec 11, 1982","Memorial Auditorium, Sacramento, California, U.S.",
33,Win,33–0,Jerry Lewis,KO,5,"Oct 23, 1982","Tijuana, Mexico",
32,Win,32–0,Jose Resendez,KO,6 (10),"Sep 28, 1982","Auditorio Fausto Gutierrez Moreno, Tijuana, Mexico",
31,Win,31–0,Santos Rodriguez,KO,8,"Aug 20, 1982","Culiacán, Mexico",
30,Win,30–0,Gustavo Salgado,KO,2 (10),"Jul 19, 1982","Auditorio Fausto Gutierrez Moreno, Tijuana, Mexico",
29,Win,29–0,Juan Carlos Alvarado,KO,3,"May 8, 1982","Culiacán, Mexico",
28,Win,28–0,Benny Abarca,PTS,10,"Apr 26, 1982","Tijuana, Mexico",
27,Win,27–0,Johnny Jensen,KO,3,"Mar 11, 1982","Tijuana, Mexico",
26,Win,26–0,Carlos Bryant,KO,2,"Feb 19, 1982","Culiacán, Mexico",
25,Win,25–0,Ramon Peraza,KO,1,"Feb 4, 1982","Tijuana, Mexico",
24,Win,24–0,Jesús García,KO,2,"Jan 29, 1982","Guamúchil, Mexico",
23,Win,23–0,Ramon Luque,KO,1,"Jan 12, 1982","Tijuana, Mexico",
22,Win,22–0,Manuel Vasquez,KO,7,"Dec 17, 1981","Culiacán, Mexico",
21,Win,21–0,Jose Angel Medina,KO,6,"Oct 19, 1981","Tijuana, Mexico",
20,Win,20–0,Jorge Ramirez,KO,2,"Sep 25, 1981","Culiacán, Mexico",
19,Win,19–0,Daniel Felizardo,KO,3 (10),"Aug 31, 1981","Tijuana, Mexico",
18,Win,18–0,Jesus Cuate Lara,KO,2 (10),"Aug 7, 1981","Culiacán, Mexico",
17,Win,17–0,Daniel Martinez,KO,1,"Jul 27, 1981","Tijuana, Mexico",
16,Win,16–0,Bobby Fernandez,KO,3,"Jul 10, 1981","Culiacán, Mexico",
15,Win,15–0,Fidel Navarro,KO,1,"Jun 26, 1981","Culiacán, Mexico",
14,Win,14–0,Victor Gamez,KO,1,"Jun 5, 1981","Culiacán, Mexico",
13,Win,13–0,Eduardo Lalo Acosta,KO,2,"May 8, 1981","Culiacán, Mexico",
12,Win,12–0,Miguel Ruiz,KO,1,"Mar 4, 1981","Culiacán, Mexico",
11,Win,11–0,Julio Gaxiola,KO,4,"Feb 2, 1981","Tijuana, Mexico",
10,Win,10–0,Roberto Flores,KO,3,"Dec 15, 1980","Culiacán, Mexico",
9,Win,9–0,Andres Felix,KO,2,"Nov 26, 1980","Culiacán, Mexico",
8,Win,8–0,Jesus Martinez,KO,1,"Oct 13, 1980","Culiacán, Mexico",
7,Win,7–0,Jesus Cuate Lara,PTS,10,"Sep 22, 1980","Culiacán, Mexico",
6,Win,6–0,Miguel Cebrero,PTS,10,"Sep 5, 1980","Culiacán, Mexico",
5,Win,5–0,Tito Geraldo,PTS,6,"Jul 18, 1980","Guamúchil, Mexico",
4,Win,4–0,Roberto Garcia,TKO,6 (6),"May 20, 1980","Guaymas, Mexico",
3,Win,3–0,Ramon Flores,KO,3 (6),"Apr 8, 1980","Navojoa, Mexico",
2,Win,2–0,Fidencio Cebreros,PTS,6,"Mar 3, 1980","Culiacán, Mexico",
1,Win,1–0,Andres Felix,KO,6 (6),"Feb 5, 1980","Culiacán, Mexico",
