No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
33,Win,33–0,Larry Holmes,KO,"4 (12), 2:55","Jan 22, 1988","21 years, 186 days","Convention Hall, Atlantic City, New Jersey, U.S.","Retained WBA, WBC, and IBF heavyweight titles"
32,Win,32–0,Tyrell Biggs,TKO,"7 (15), 2:59","Oct 16, 1987","21 years, 108 days","Convention Hall, Atlantic City, New Jersey, U.S.","Retained WBA, WBC, and IBF heavyweight titles"
31,Win,31–0,Tony Tucker,UD,12,"Aug 1, 1987","21 years, 32 days","Las Vegas Hilton, Winchester, Nevada, U.S.",Retained WBA and WBC heavyweight titles; Won IBF heavyweight title; Heavyweight unification series
30,Win,30–0,Pinklon Thomas,TKO,"6 (12), 2:00","May 30, 1987","20 years, 334 days","Las Vegas Hilton, Winchester Nevada, U.S.",Retained WBA and WBC heavyweight titles; Heavyweight unification series
29,Win,29–0,James Smith,UD,12,"Mar 7, 1987","20 years, 250 days","Las Vegas Hilton, Winchester, Nevada, U.S.",Retained WBC heavyweight title; Won WBA heavyweight title; Heavyweight unification series
28,Win,28–0,Trevor Berbick,TKO,"2 (12), 2:35","Nov 22, 1986","20 years, 145 days","Las Vegas Hilton, Winchester, Nevada, U.S.",Won WBC heavyweight title
27,Win,27–0,Alfonso Ratliff,TKO,"2 (10), 1:41","Sep 6, 1986","20 years, 68 days","Las Vegas Hilton, Winchester, Nevada, U.S.",
26,Win,26–0,José Ribalta,TKO,"10 (10), 1:37","Aug 17, 1986","20 years, 48 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
25,Win,25–0,Marvis Frazier,KO,"1 (10), 0:30","Jul 26, 1986","20 years, 26 days","Civic Center, Glens Falls, New York, U.S.",
24,Win,24–0,Lorenzo Boyd,KO,"2 (10), 1:43","Jul 11, 1986","20 years, 11 days","Stevensville Hotel, Swan Lake, New York, U.S.",
23,Win,23–0,William Hosea,KO,"1 (10), 2:03","Jun 28, 1986","19 years, 363 days","Houston Field House, Troy, New York, U.S.",
22,Win,22–0,Reggie Gross,TKO,"1 (10), 2:36","Jun 13, 1986","19 years, 348 days","Madison Square Garden, New York City, New York, U.S.",
21,Win,21–0,Mitch Green,UD,10,"May 20, 1986","19 years, 324 days","Madison Square Garden, New York City, New York, U.S.",
20,Win,20–0,James Tillis,UD,10,"May 3, 1986","19 years, 307 days","Civic Center, Glens Falls, New York, U.S.",
19,Win,19–0,Steve Zouski,KO,"3 (10), 2:39","Mar 10, 1986","19 years, 253 days","Nassau Veterans Memorial Coliseum, Uniondale, New York, U.S.",
18,Win,18–0,Jesse Ferguson,TKO,"6 (10), 1:19","Feb 16, 1986","19 years, 231 days","Houston Field House, Troy, New York, U.S.","Originally DQ win for Tyson, later ruled TKO"
17,Win,17–0,Mike Jameson,TKO,"5 (8), 0:46","Jan 24, 1986","19 years, 208 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
16,Win,16–0,David Jaco,TKO,"1 (10), 2:16","Jan 11, 1986","19 years, 195 days","Plaza Convention Center, Albany, New York, U.S.",
15,Win,15–0,Mark Young,TKO,"1 (10), 0:50","Dec 27, 1985","19 years, 180 days","Latham Coliseum, Latham, New York, U.S.",
14,Win,14–0,Sammy Scaff,TKO,"1 (10), 1:19","Dec 6, 1985","19 years, 159 days","Felt Forum, New York City, New York, U.S.",
13,Win,13–0,Conroy Nelson,TKO,"2 (8), 0:30","Nov 22, 1985","19 years, 145 days","Latham Coliseum, Latham, New York, U.S.",
12,Win,12–0,Eddie Richardson,KO,"1 (8), 1:17","Nov 13, 1985","19 years, 136 days","Ramada Hotel, Houston, Texas, U.S.",
11,Win,11–0,Sterling Benjamin,TKO,"1 (8), 0:54","Nov 1, 1985","19 years, 124 days","Latham Coliseum, Latham, New York, U.S.",
10,Win,10–0,Robert Colay,KO,"1 (8), 0:37","Oct 25, 1985","19 years, 117 days","Atlantis Hotel and Casino, Atlantic City, New Jersey, U.S.",
9,Win,9–0,Donnie Long,TKO,"1 (6), 1:28","Oct 9, 1985","19 years, 101 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
8,Win,8–0,Michael Johnson,KO,"1 (6), 0:39","Sep 5, 1985","19 years, 67 days","Atlantis Hotel and Casino, Atlantic City, New Jersey, U.S.",
7,Win,7–0,Lorenzo Canady,KO,"1 (6), 1:05","Aug 15, 1985","19 years, 46 days","Steel Pier, Atlantic City, New Jersey, U.S.",
6,Win,6–0,Larry Sims,KO,"3 (6), 2:04","Jul 19, 1985","19 years, 19 days","Mid-Hudson Civic Center, Poughkeepsie, New York, U.S.",
5,Win,5–0,John Alderson,TKO,"2 (6), 3:00","Jul 11, 1985","19 years, 11 days","Trump Plaza Hotel and Casino, Atlantic City, New Jersey, U.S.",
4,Win,4–0,Ricardo Spain,TKO,"1 (6), 0:39","Jun 20, 1985","18 years, 355 days","Steel Pier, Atlantic City, New Jersey, U.S.",
3,Win,3–0,Don Halpin,KO,"4 (6), 1:04","May 23, 1985","18 years, 327 days","Albany, New York, U.S.",
2,Win,2–0,Trent Singleton,TKO,"1 (4), 0:52","Apr 10, 1985","18 years, 284 days","Albany, New York, U.S.",
1,Win,1–0,Hector Mercedes,TKO,"1 (4), 1:47","Mar 6, 1985","18 years, 249 days","Plaza Convention Center, Albany, New York, U.S.",
