No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
22,Win,22–0,Mario Schiesser,TKO,"2 (12), 2:00",24 Oct 1998,"27 years, 97 days","Alsterdorfer Sporthalle, Hamburg, Germany",Won vacant European heavyweight title
21,Win,21–0,Ricardo Kennedy,TKO,"1 (8), 1:31",11 Aug 1998,"27 years, 23 days","Miccosukee Resort & Gaming, Miami, Florida, US",
20,Win,20–0,José Ribalta,TKO,"2 (8), 2:13",5 Jun 1998,"26 years, 321 days","Sporthalle Wandsbek, Hamburg, Germany",
19,Win,19–0,Dicky Ryan,TKO,5 (12),2 May 1998,"26 years, 287 days","Hansehalle, Lübeck, Germany",Won vacant WBO Inter-Continental heavyweight title
18,Win,18–0,Julius Francis,TKO,2 (12),18 Apr 1998,"26 years, 273 days","Eurogress, Aachen, Germany",
17,Win,17–0,Levi Billups,KO,2 (10),20 Mar 1998,"26 years, 244 days","Ballsporthalle, Frankfurt, Germany",
16,Win,16–0,Louis Monaco,KO,3 (10),7 Mar 1998,"26 years, 231 days","Sartory Saale, Cologne, Germany",
15,Win,15–0,Alben Belinski,KO,2 (8),30 Jan 1998,"26 years, 195 days","Berdux Filmstudios, Munich, Germany",
14,Win,14–0,Marcus Rhode,TKO,2 (10),17 Jan 1998,"26 years, 182 days","Sport- und Erholungszentrum, Berlin, Germany",
13,Win,13–0,Anthony Willis,KO,5 (8),20 Dec 1997,"26 years, 154 days","Oberrheinhalle, Offenburg, Germany",
12,Win,12–0,Herman Delgado,TKO,3 (8),29 Nov 1997,"26 years, 133 days","Rheinstrandhalle, Karlsruhe, Germany",
11,Win,11–0,Gilberto Williamson,KO,"6 (8), 2:50",8 Nov 1997,"26 years, 112 days","Ballsporthalle, Frankfurt, Germany",
10,Win,10–0,Will Hinton,KO,2 (6),4 Oct 1997,"26 years, 77 days","Stadionsporthalle, Hanover, Germany",
9,Win,9–0,Jimmy Haynes,KO,2 (6),14 Jun 1997,"25 years, 330 days","Saaltheater Hubert Geulen, Aachen, Germany",
8,Win,8–0,Cleveland Woods,KO,"2 (6), 2:16",10 May 1997,"25 years, 295 days","Ballsporthalle, Frankfurt, Germany",
7,Win,7–0,Derrick Roddy,TKO,"2 (6), 2:14",12 Apr 1997,"25 years, 267 days","Eurogress, Aachen, Germany",
6,Win,6–0,Calvin Jones,KO,"1 (6), 2:58",8 Mar 1997,"25 years, 232 days","Sartory Saale, Cologne, Germany",
5,Win,5–0,Troy Roberts,TKO,"2 (6), 1:14",22 Feb 1997,"25 years, 218 days","Sporthalle Wandsbek, Hamburg, Germany",
4,Win,4–0,Mike Acklie,KO,"1 (6), 0:32",25 Jan 1997,"25 years, 190 days","Maritim Hotel, Stuttgart, Germany",
3,Win,3–0,Brian Sargent,TKO,"2 (6), 1:08",21 Dec 1996,"25 years, 155 days","Zoological Garden, Frankfurt, Germany",
2,Win,2–0,Frantisek Sumina,TKO,"1 (4), 1:12",30 Nov 1996,"25 years, 134 days","Arena Nova, Wiener Neustadt, Austria",
1,Win,1–0,Tony Bradham,KO,"2 (4), 1:14",16 Nov 1996,"25 years, 120 days","Sporthalle Wandsbek, Hamburg, Germany",
