No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
26,Win,26–0,Freddie Pendleton,KO,"2 (12), 2:40",27 Oct 2001,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
25,Win,25–0,John Bailey,TKO,"5 (12), 0:36",15 Sep 2001,"MEN Arena, Manchester, England",Retained WBU light-welterweight title
24,Win,24–0,Jason Rowland,KO,"4 (12), 2:08",7 Jul 2001,"Manchester Velodrome, Manchester, England",Retained WBU light-welterweight title
23,Win,23–0,Tony Pep,TKO,"4 (12), 2:30",26 Mar 2001,"Wembley Conference Centre, London, England",Won vacant WBU light-welterweight title
22,Win,22–0,Jon Thaxton,PTS,12,21 Oct 2000,"Wembley Conference Centre, London, England",Won vacant British light-welterweight title
21,Win,21–0,Giuseppe Lauri,TKO,"5 (12), 1:57",23 Sep 2000,"York Hall, London, England",Retained WBO Inter-Continental light-welterweight title; Won WBA Inter-Continental light-welterweight title
20,Win,20–0,Gilbert Quiros,KO,"2 (12), 1:48",10 Jun 2000,"Fox Theatre, Detroit, Michigan, US",Retained WBO Inter-Continental light-welterweight title
19,Win,19–0,Ambioris Figuero,TKO,"4 (12), 0:49",16 May 2000,"Spectrum Arena, Warrington, England",Retained WBO Inter-Continental light-welterweight title
18,Win,18–0,Pedro Alonso Teran,TKO,"4 (12), 2:55",25 Mar 2000,"Liverpool Olympia, Liverpool, England",Retained WBO Inter-Continental light-welterweight title
17,Win,17–0,Leoncio Garces,TKO,"3 (8), 1:37",29 Jan 2000,"MEN Arena, Manchester, England",
16,Win,16–0,Mark Winters,TKO,"4 (12), 0:51",11 Dec 1999,"Everton Park Sports Centre, Liverpool, England",Retained WBO Inter-Continental light-welterweight title
15,Win,15–0,Bernard Paul,RTD,"4 (12), 3:00",9 Oct 1999,"Bowlers Exhibition Centre, Manchester, England",Retained WBO Inter-Continental light-welterweight title
14,Win,14–0,Mark Ramsey,PTS,6,17 Jul 1999,"The Dome Leisure Centre, Doncaster, England",
13,Win,13–0,Dillon Carew,TKO,"5 (12), 2:00",29 May 1999,"North Bridge Leisure Centre, Halifax, England",Won vacant WBO Inter-Continental light-welterweight title
12,Win,12–0,Brian Coleman,KO,"2 (10), 1:18",3 Apr 1999,"Royal Albert Hall, London, England",
11,Win,11–0,Tommy Peacock,TKO,"2 (10), 2:21",27 Feb 1999,"Sports Centre, Oldham, England",Won vacant Central Area light-welterweight title
10,Win,10–0,Paul Denton,TKO,"6 (8), 0:19",19 Dec 1998,"Everton Park Sports Centre, Liverpool, England",
9,Win,9–0,Kevin Carter,TKO,1 (6),31 Oct 1998,"Bally's Park Place, Atlantic City, New Jersey, US",
8,Win,8–0,Pascal Montulet,KO,2 (6),19 Sep 1998,"Arena Oberhausen, Oberhausen, Germany",
7,Win,7–0,Anthony Campbell,PTS,6,18 Jul 1998,"Ponds Forge, Sheffield, England",
6,Win,6–0,Mark Ramsey,PTS,6,30 May 1998,"Whitchurch Leisure Centre, Bristol, England",
5,Win,5–0,Karl Taylor,TKO,"1 (6), 1:45",18 Apr 1998,"MEN Arena, Manchester, England",
4,Win,4–0,Paul Salmon,TKO,"1 (4), 1:47",27 Mar 1998,"Ice Rink, Telford, England",
3,Win,3–0,David Thompson,TKO,"1 (4), 1:25",17 Jan 1998,"Whitchurch Leisure Centre, Bristol, England",
2,Win,2–0,Robbie Alvarez,UD,4,19 Dec 1997,"Madison Square Garden, New York City, New York, US",
1,Win,1–0,Colin McAuley,RTD,"1 (4), 3:00",11 Sep 1997,"Kingsway Leisure Centre, Widnes, England",
