No.,Result,Record,Opponent,Type,"Round, time",Date,Location,Notes
45,Win,40–4 (1),David Estrada,UD,10,"Apr 23, 2005","Caesars Palace, Paradise, Nevada, U.S.",
44,Loss,39–4 (1),Winky Wright,MD,12,"Nov 20, 2004","Mandalay Bay Events Center, Paradise, Nevada, U.S.","For WBA (Unified), WBC, and The Ring light middleweight titles"
43,Loss,39–3 (1),Winky Wright,UD,12,"Mar 13, 2004","Mandalay Bay Events Center, Paradise, Nevada, U.S.","Lost WBA (Unified), WBC, and The Ring light middleweight titles; For IBF light middleweight title"
42,Win,39–2 (1),Oscar De La Hoya,UD,12,"Sep 13, 2003","MGM Grand Garden Arena, Paradise, Nevada, U.S.","Won WBA (Unified), WBC, IBA, and The Ring light middleweight titles"
41,NC,38–2 (1),Raúl Márquez,NC,"3 (12), 2:41","Feb 8, 2003","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Márquez cut from an accidental head clash
40,Loss,38–2,Vernon Forrest,UD,12,"Jul 20, 2002","Conseco Fieldhouse, Indianapolis, Indiana, U.S.",For WBC and The Ring welterweight titles
39,Loss,38–1,Vernon Forrest,UD,12,"Jan 26, 2002","The Theater at Madison Square Garden, New York City, New York, U.S.",Lost WBC welterweight title; For vacant The Ring welterweight title
38,Win,38–0,Adrian Stone,TKO,"3 (12), 2:01","Jul 21, 2001","Caesars Palace, Paradise, Nevada, U.S.",Retained WBC welterweight title
37,Win,37–0,Shannan Taylor,RTD,"6 (12), 3:00","Mar 10, 2001","Caesars Palace, Paradise, Nevada, U.S.",Retained WBC welterweight title
36,Win,36–0,Antonio Díaz,TKO,"6 (12), 1:36","Nov 4, 2000","The Theater at Madison Square Garden, New York City, New York, U.S.",Retained WBC welterweight title
35,Win,35–0,Oscar De La Hoya,SD,12,"Jun 17, 2000","Staples Center, Los Angeles, California, U.S.",Won WBC and IBA welterweight titles
34,Win,34–0,Willy Wise,TKO,"3 (10), 2:28","Jan 22, 2000","The Joint, Paradise, Nevada, U.S.",
33,Win,33–0,Wilfredo Rivera,KO,"10 (10), 2:38","Sep 25, 1999","Pechanga Resort & Casino, Temecula, California, U.S.",
32,Win,32–0,John Brown,TKO,"8 (12), 3:00","Apr 17, 1999","Fantasy Springs Resort Casino, Indio, California, U.S.",Retained IBF lightweight title
31,Win,31–0,Golden Johnson,KO,"7 (12), 2:59","Jan 9, 1999","Civic Center, Pensacola, Florida, U.S.",Retained IBF lightweight title
30,Win,30–0,Jesse James Leija,RTD,"9 (12), 3:00","Nov 14, 1998","Foxwoods Resort Casino, Ledyard, Connecticut, U.S.",Retained IBF lightweight title
29,Win,29–0,Eduardo Morales,TKO,"5 (12), 2:06","Sep 22, 1998","The Theater at Madison Square Garden, New York City, New York, U.S.",Retained IBF lightweight title
28,Win,28–0,Wilfredo Ruiz,KO,"5 (12), 2:32","Jun 27, 1998","Apollo Theatre, Philadelphia, Pennsylvania, U.S.",Retained IBF lightweight title
27,Win,27–0,John John Molina,TKO,"8 (12), 2:27","May 9, 1998","Etess Arena, Atlantic City, New Jersey, U.S.",Retained IBF lightweight title
26,Win,26–0,Demetrio Ceballos,TKO,"8 (12), 2:34","Feb 6, 1998","Mohegan Sun Arena, Montville, Connecticut, U.S.",Retained IBF lightweight title
25,Win,25–0,Manuel Gomez,KO,"11 (12), 1:25","Nov 25, 1997","County Coliseum, El Paso, Texas, U.S.",Retained IBF lightweight title
24,Win,24–0,Philip Holiday,UD,12,"Aug 2, 1997","Mohegan Sun Arena, Montville, Connecticut, U.S.",Won IBF lightweight title
23,Win,23–0,Michael Smith,KO,4 (10),"Apr 9, 1997","Inland Expo Center, Westmont, Illinois, U.S.",
22,Win,22–0,Elias Quiroz,KO,6 (10),"Feb 6, 1997","Beverly Hills, California, U.S.",
21,Win,21–0,Joseph Murray,TKO,3 (10),"Dec 21, 1996","Mohegan Sun Arena, Montville, Connecticut, U.S.",
20,Win,20–0,Ramon Felix,TKO,1 (10),"Nov 1, 1996","Fantasy Springs Resort Casino, Indio, California, U.S.",
19,Win,19–0,Mike Bryan,KO,1 (10),"Jan 23, 1996","Grand Casino, Biloxi, Mississippi, U.S.",
18,Win,18–0,Mauricio Aceves,KO,4 (10),"Jul 2, 1995","Arrowhead Pond, Anaheim, California, U.S.",
17,Win,17–0,Raul Hernandez,KO,2 (10),"Apr 12, 1995","Warner Center Marriott, Los Angeles, California, U.S.",
16,Win,16–0,Jose Luis Madrid,RTD,4 (10),"Nov 12, 1994","Civic Auditorium, Santa Cruz, California, U.S.",
15,Win,15–0,Louis Ramirez,TKO,"10 (10), 0:45","Sep 9, 1994","Grand Olympic Auditorium, Los Angeles, California, U.S.",
14,Win,14–0,Mauro Gutierrez,TKO,"9 (10), 1:10","Aug 6, 1994","Fairplex, Pomona, California, U.S.",
13,Win,13–0,Narciso Valenzuela,TKO,"5 (10), 1:54","Jul 24, 1994","Grand Olympic Auditorium, Los Angeles, California, U.S.",
12,Win,12–0,John Bryant,KO,"8 (10), 0:53","Jun 30, 1994","Marriott Hotel, Irvine, California, U.S.",
11,Win,11–0,Lorenzo Garcia,TKO,"3 (10), 0:38","Apr 29, 1994","Civic Auditorium, Santa Cruz, California, U.S.",
10,Win,10–0,Oscar Lopez,PTS,10,"Mar 26, 1994","Fairplex, Pomona, California, U.S.",
9,Win,9–0,Lorenzo Garcia,KO,5 (10),"Feb 4, 1994","Civic Auditorium, Santa Cruz, California, U.S.",
8,Win,8–0,Francisco Rodriguez,KO,"2 (8), 2:40","Jan 20, 1994","Marriott Hotel, Irvine, California, U.S.",
7,Win,7–0,Paulino Gonzalez,KO,2 (8),"Dec 6, 1993","Great Western Forum, Inglewood, California, U.S.",
6,Win,6–0,Juan Manuel Aranda,KO,2 (8),"Oct 25, 1993","Great Western Forum, Inglewood, California, U.S.",
5,Win,5–0,Miguel Pena,KO,"2 (8), 1:40","Sep 27, 1993","Great Western Forum, Inglewood, California, U.S.",
4,Win,4–0,Roberto Urias,KO,5 (6),"Aug 25, 1993","Hollywood Palladium, Hollywood, California, U.S.",
3,Win,3–0,Pey Castillo,KO,"1 (6), 2:25","Jul 21, 1993","Reseda Country Club, Los Angeles, California, U.S.",
2,Win,2–0,Arnulfo Villa,KO,"1 (6), 2:34","Apr 24, 1993","Great Western Forum, Inglewood, California, U.S.",
1,Win,1–0,Greg Puente,KO,"5 (6), 1:09","Feb 11, 1993","Hollywood Palladium, Hollywood, California, U.S.",
