No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
49,Win,47–2,Ron Lyle,TKO,"11 (15), 1:08","May 16, 1975","33 years, 119 days","Las Vegas Convention Center, Winchester, Nevada, U.S.","Retained WBA, WBC, and The Ring heavyweight titles"
48,Win,46–2,Chuck Wepner,TKO,"15 (15), 2:41","Mar 24, 1975","33 years, 66 days","Coliseum, Richfield, Ohio, U.S.","Retained WBA, WBC, and The Ring heavyweight titles"
47,Win,45–2,George Foreman,KO,"8 (15), 2:58","Oct 30, 1974","32 years, 286 days","Stade du 20 Mai, Kinshasa, Zaire","Won WBA, WBC, and The Ring heavyweight titles"
46,Win,44–2,Joe Frazier,UD,12,"Jan 28, 1974","32 years, 11 days","Madison Square Garden, New York City, New York, U.S.",Retained NABF heavyweight title
45,Win,43–2,Rudie Lubbers,UD,12,"Oct 20, 1973","31 years, 276 days","Gelora Bung Karno Stadium, Jakarta, Indonesia",
44,Win,42–2,Ken Norton,SD,12,"Sep 10, 1973","31 years, 236 days","The Forum, Inglewood, California, U.S.",Won NABF heavyweight title
43,Loss,41–2,Ken Norton,SD,12,"Mar 31, 1973","31 years, 73 days","San Diego Sports Arena, San Diego, California, U.S.",Lost NABF heavyweight title
42,Win,41–1,Joe Bugner,UD,12,"Feb 14, 1973","31 years, 28 days","Las Vegas Convention Center, Winchester, Nevada, U.S.",
41,Win,40–1,Bob Foster,KO,"8 (12), 0:40","Nov 21, 1972","30 years, 309 days","Sahara Tahoe, Stateline, Nevada, U.S.",Retained NABF heavyweight title
40,Win,39–1,Floyd Patterson,RTD,"7 (12), 3:00","Sep 20, 1972","30 years, 247 days","Madison Square Garden, New York City, New York, U.S.",Retained NABF heavyweight title
39,Win,38–1,Alvin Lewis,TKO,"11 (12), 1:15","Jul 19, 1972","30 years, 184 days","Croke Park, Dublin, Ireland",
38,Win,37–1,Jerry Quarry,TKO,"7 (12), 0:19","Jun 27, 1972","30 years, 162 days","Las Vegas Convention Center, Winchester, Nevada, U.S.",Retained NABF heavyweight title
37,Win,36–1,George Chuvalo,UD,12,"May 1, 1972","30 years, 105 days","Pacific Coliseum, Vancouver, British Columbia, Canada",Retained NABF heavyweight title
36,Win,35–1,Mac Foster,UD,15,"Apr 1, 1972","30 years, 75 days","Nippon Budokan, Tokyo, Japan",
35,Win,34–1,Jürgen Blin,KO,"7 (12), 2:12","Dec 26, 1971","29 years, 343 days","Hallenstadion, Zürich, Switzerland",
34,Win,33–1,Buster Mathis,UD,12,"Nov 17, 1971","29 years, 304 days","Astrodome, Houston, Texas, U.S.",Retained NABF heavyweight title
33,Win,32–1,Jimmy Ellis,TKO,"12 (12), 2:10","Jul 26, 1971","29 years, 190 days","Astrodome, Houston, Texas, U.S.",Won vacant NABF heavyweight title
32,Loss,31–1,Joe Frazier,UD,15,"Mar 8, 1971","29 years, 50 days","Madison Square Garden, New York City, New York, U.S.","For WBA, WBC, and The Ring heavyweight titles"
31,Win,31–0,Oscar Bonavena,TKO,"15 (15), 2:03","Dec 7, 1970","28 years, 324 days","Madison Square Garden, New York City, New York, U.S.",Won vacant NABF heavyweight title
30,Win,30–0,Jerry Quarry,RTD,"3 (15), 3:00","Oct 26, 1970","28 years, 282 days","Municipal Auditorium, Atlanta, Georgia, U.S.",
29,Win,29–0,Zora Folley,KO,"7 (15), 1:48","Mar 22, 1967","25 years, 64 days","Madison Square Garden, New York City, New York, U.S.","Retained WBA, WBC, NYSAC, and The Ring heavyweight titles"
28,Win,28–0,Ernie Terrell,UD,15,"Feb 6, 1967","25 years, 20 days","Astrodome, Houston, Texas, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles; Won WBA heavyweight title"
27,Win,27–0,Cleveland Williams,TKO,"3 (15), 1:08","Nov 14, 1966","24 years, 301 days","Astrodome, Houston, Texas, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles"
26,Win,26–0,Karl Mildenberger,TKO,"12 (15), 1:30","Sep 10, 1966","24 years, 236 days","Waldstadion, Frankfurt, West Germany","Retained WBC, NYSAC, and The Ring heavyweight titles"
25,Win,25–0,Brian London,KO,"3 (15), 1:40","Aug 6, 1966","24 years, 201 days","Earls Court Exhibition Centre, London, England","Retained WBC, NYSAC, and The Ring heavyweight titles"
24,Win,24–0,Henry Cooper,TKO,"6 (15), 1:38","May 21, 1966","24 years, 124 days","Arsenal Stadium, London, England","Retained WBC, NYSAC, and The Ring heavyweight titles"
23,Win,23–0,George Chuvalo,UD,15,"Mar 29, 1966","24 years, 71 days","Maple Leaf Gardens, Toronto, Canada","Retained WBC, NYSAC, and The Ring heavyweight titles"
22,Win,22–0,Floyd Patterson,TKO,"12 (15), 2:18","Nov 22, 1965","23 years, 309 days","Las Vegas Convention Center, Winchester, Nevada, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles"
21,Win,21–0,Sonny Liston,KO,"1 (15), 2:12","May 25, 1965","23 years, 128 days","Civic Center, Lewiston, Maine, U.S.","Retained WBC, NYSAC, and The Ring heavyweight titles"
20,Win,20–0,Sonny Liston,RTD,"6 (15), 3:00","Feb 25, 1964","22 years, 39 days","Convention Center, Miami Beach, Florida, U.S.","Won WBA, WBC, NYSAC, and The Ring heavyweight titles"
19,Win,19–0,Henry Cooper,TKO,"5 (10), 2:15","Jun 18, 1963","21 years, 152 days","Wembley Stadium, London, England",
18,Win,18–0,Doug Jones,UD,10,"Mar 13, 1963","21 years, 55 days","Madison Square Garden, New York City, New York, U.S.",
17,Win,17–0,Charlie Powell,KO,"3 (10), 2:04","Jan 24, 1963","21 years, 7 days","Civic Arena, Pittsburgh, Pennsylvania, U.S.",
16,Win,16–0,Archie Moore,TKO,"4 (10), 1:35","Nov 15, 1962","20 years, 302 days","Memorial Sports Arena, Los Angeles, California, U.S.",
15,Win,15–0,Alejandro Lavorante,KO,"5 (10), 1:48","Jul 20, 1962","20 years, 184 days","Memorial Sports Arena, Los Angeles, California, U.S.",
14,Win,14–0,Billy Daniels,TKO,"7 (10), 2:21","May 19, 1962","20 years, 122 days","St. Nicholas Arena, New York City, New York, U.S.",
13,Win,13–0,George Logan,TKO,"4 (10), 1:34","Apr 23, 1962","20 years, 96 days","Memorial Sports Arena, Los Angeles, California, U.S.",
12,Win,12–0,Don Warner,TKO,"4 (10), 0:34","Feb 28, 1962","20 years, 70 days","Convention Center, Miami Beach, Florida, U.S.",
11,Win,11–0,Sonny Banks,TKO,"4 (10), 0:26","Feb 10, 1962","20 years, 24 days","Madison Square Garden, New York City, New York, U.S.",
10,Win,10–0,Willi Besmanoff,TKO,"7 (10), 1:55","Nov 29, 1961","19 years, 316 days","Freedom Hall, Louisville, Kentucky, U.S.",
9,Win,9–0,Alex Miteff,TKO,"6 (10), 1:45","Oct 7, 1961","19 years, 263 days","Freedom Hall, Louisville, Kentucky, U.S.",
8,Win,8–0,Alonzo Johnson,UD,10,"Jul 22, 1961","19 years, 186 days","Freedom Hall, Louisville, Kentucky, U.S.",
7,Win,7–0,Duke Sabedong,UD,10,"Jun 26, 1961","19 years, 160 days","Las Vegas Convention Center, Winchester, Nevada, U.S.",
6,Win,6–0,LaMar Clark,KO,"2 (8), 1:27","Apr 19, 1961","19 years, 92 days","Freedom Hall, Louisville, Kentucky, U.S.",
5,Win,5–0,Donnie Fleeman,RTD,6 (8),"Feb 21, 1961","19 years, 35 days","Municipal Auditorium, Miami Beach, Florida, U.S.",
4,Win,4–0,Jim Robinson,KO,"1 (8), 1:34","Feb 7, 1961","19 years, 21 days","Convention Center, Miami Beach, Florida, U.S.",
3,Win,3–0,Tony Esperti,TKO,"3 (8), 1:30","Jan 17, 1961","19 years, 0 days","Municipal Auditorium, Miami Beach, Florida, U.S.",
2,Win,2–0,Herb Siler,TKO,"4 (8), 1:00","Dec 27, 1960","18 years, 345 days","Municipal Auditorium, Miami Beach, Florida, U.S.",
1,Win,1–0,Tunney Hunsaker,UD,6,"Oct 29, 1960","18 years, 286 days","Freedom Hall, Louisville, Kentucky, U.S.",
