No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
56,Win,53–3,Ruslan Chagaev,RTD,"9 (12), 3:00",20 Jun 2009,"33 years, 87 days","Veltins-Arena, Gelsenkirchen, Germany","Retained IBF, WBO, and IBO heavyweight titles; Won vacant The Ring heavyweight title"
55,Win,52–3,Hasim Rahman,TKO,"7 (12), 0:44",13 Dec 2008,"32 years, 263 days","SAP Arena, Mannheim, Germany","Retained IBF, WBO, and IBO heavyweight titles"
54,Win,51–3,Tony Thompson,KO,"11 (12), 1:38",12 Jul 2008,"32 years, 109 days","Color Line Arena, Hamburg, Germany","Retained IBF, WBO, and IBO heavyweight titles"
53,Win,50–3,Sultan Ibragimov,UD,12,23 Feb 2008,"31 years, 335 days","Madison Square Garden, New York City, New York, US",Retained IBF and IBO heavyweight titles; Won WBO heavyweight title
52,Win,49–3,Lamon Brewster,RTD,"6 (12), 3:00",7 Jul 2007,"31 years, 104 days","Kölnarena, Cologne, Germany",Retained IBF and IBO heavyweight titles
51,Win,48–3,Ray Austin,KO,"2 (12), 1:23",10 Mar 2007,"30 years, 350 days","SAP Arena, Mannheim, Germany",Retained IBF and IBO heavyweight titles
50,Win,47–3,Calvin Brock,TKO,"7 (12), 2:10",11 Nov 2006,"30 years, 231 days","Madison Square Garden, New York City, New York, US",Retained IBF and IBO heavyweight titles
49,Win,46–3,Chris Byrd,TKO,"7 (12), 0:41",22 Apr 2006,"30 years, 28 days","SAP Arena, Mannheim, Germany",Won IBF and vacant IBO heavyweight titles
48,Win,45–3,Samuel Peter,UD,12,24 Sep 2005,"29 years, 183 days","Boardwalk Hall, Atlantic City, New Jersey, US",Won NABF and vacant NABO heavyweight titles
47,Win,44–3,Eliseo Castillo,TKO,"4 (10), 2:51",23 Apr 2005,"29 years, 29 days","Westfalenhallen, Dortmund, Germany",
46,Win,43–3,DaVarryl Williamson,TD,"5 (10), 3:00",2 Oct 2004,"28 years, 191 days","Caesars Palace, Paradise, Nevada, US",Split TD: Klitschko cut from an accidental head clash
45,Loss,42–3,Lamon Brewster,TKO,"5 (12), 3:00",10 Apr 2004,"28 years, 16 days","Mandalay Bay Events Center, Paradise, Nevada, US",For vacant WBO heavyweight title
44,Win,42–2,Danell Nicholson,TKO,"4 (12), 1:44",20 Dec 2003,"27 years, 270 days","Ostseehalle, Kiel, Germany",Retained WBA Inter-Continental heavyweight title
43,Win,41–2,Fabio Eduardo Moli,KO,"1 (12), 1:49",30 Aug 2003,"27 years, 158 days","Olympiahalle, Munich, Germany",Won vacant WBA Inter-Continental heavyweight title
42,Loss,40–2,Corrie Sanders,TKO,"2 (12), 0:27",8 Mar 2003,"26 years, 348 days","Preussag Arena, Hanover, Germany",Lost WBO heavyweight title
41,Win,40–1,Jameel McCline,RTD,"10 (12), 3:00",7 Dec 2002,"26 years, 257 days","Mandalay Bay Events Center, Paradise, Nevada, US",Retained WBO heavyweight title
40,Win,39–1,Ray Mercer,TKO,"6 (12), 1:08",29 Jun 2002,"26 years, 93 days","Etess Arena, Atlantic City, New Jersey, US",Retained WBO heavyweight title
39,Win,38–1,Francois Botha,TKO,"8 (12), 0:47",16 Mar 2002,"25 years, 356 days","Hanns-Martin-Schleyer-Halle, Stuttgart, Germany",Retained WBO heavyweight title
38,Win,37–1,Charles Shufford,TKO,"6 (12), 2:55",4 Aug 2001,"25 years, 132 days","Mandalay Bay Events Center, Paradise, Nevada, US",Retained WBO heavyweight title
37,Win,36–1,Derrick Jefferson,TKO,"2 (12), 2:09",24 Mar 2001,"24 years, 344 days","Rudi-Sedlmayer-Halle, Munich, Germany",Retained WBO heavyweight title
36,Win,35–1,Chris Byrd,UD,12,14 Oct 2000,"24 years, 203 days","Kölnarena, Cologne, Germany",Won WBO heavyweight title
35,Win,34–1,Monte Barrett,TKO,"7 (10), 2:40",15 Jul 2000,"24 years, 112 days","London Arena, London, England",
34,Win,33–1,David Bostice,TKO,"2 (12), 1:27",29 Apr 2000,"24 years, 35 days","Madison Square Garden, New York City, New York, US",Retained WBA Inter-Continental heavyweight title
33,Win,32–1,Paea Wolfgramm,KO,"1 (12), 1:30",18 Mar 2000,"23 years, 359 days","Alsterdorfer Sporthalle, Hamburg, Germany",Won vacant WBC International heavyweight title
32,Win,31–1,Lajos Eros,KO,"2 (12), 2:35",4 Dec 1999,"23 years, 254 days","Stadionsporthalle, Hanover, Germany",Retained WBA Inter-Continental and European heavyweight titles
31,Win,30–1,Phil Jackson,KO,"2 (8), 1:59",12 Nov 1999,"23 years, 232 days","The Orleans, Paradise, Nevada, US",
30,Win,29–1,Axel Schulz,TKO,"8 (12), 2:42",25 Sep 1999,"23 years, 184 days","Kölnarena, Cologne, Germany",Retained WBA Inter-Continental heavyweight title; Won vacant European heavyweight title
29,Win,28–1,Joseph Chingangu,RTD,"4 (12), 3:00",17 Jul 1999,"23 years, 114 days","Philips Halle, Düsseldorf, Germany",Won vacant WBA Inter-Continental heavyweight title
28,Win,27–1,Tony LaRosa,TKO,"1 (10), 2:57",22 May 1999,"23 years, 58 days","Sport Palace, Budapest, Hungary",
27,Win,26–1,Everett Martin,TKO,8 (8),24 Apr 1999,"23 years, 30 days","Circus Krone Building, Munich, Germany",
26,Win,25–1,Zoran Vujicic,KO,"1 (8), 1:02",13 Feb 1999,"22 years, 325 days","Maritim Hotel, Stuttgart, Germany",
25,Loss,24–1,Ross Puritty,TKO,"11 (12), 0:18",5 Dec 1998,"22 years, 255 days","Palace of Sports, Kyiv, Ukraine",Lost WBC International heavyweight title
24,Win,24–0,Donnell Wingfield,KO,1 (8),14 Nov 1998,"22 years, 234 days","Circus Krone Building, Munich, Germany",
23,Win,23–0,Eli Dixon,KO,"3 (10), 2:26",3 Oct 1998,"22 years, 192 days","Prinz-Garden Halle, Augsburg, Germany",
22,Win,22–0,Steve Pannell,KO,2 (10),19 Sep 1998,"22 years, 178 days","Arena Oberhausen, Oberhausen, Germany",
21,Win,21–0,Carlos Monroe,TKO,"6 (10), 2:28",6 Aug 1998,"22 years, 134 days","Grand Casino Avoyelles, Marksville, Louisiana, US",
20,Win,20–0,Najee Shaheed,KO,1 (12),10 Jul 1998,"22 years, 107 days","Circus Krone Building, Munich, Germany",Retained WBC International heavyweight title
19,Win,19–0,Cody Koch,KO,4 (12),23 May 1998,"22 years, 59 days","Oberrheinhalle, Offenburg, Germany",Retained WBC International heavyweight title
18,Win,18–0,Everett Martin,UD,8,13 Mar 1998,"21 years, 353 days","Sporthalle Wandsbek, Hamburg, Germany",
17,Win,17–0,Marcus McIntyre,KO,3 (12),14 Feb 1998,"21 years, 326 days","Maritim Hotel, Stuttgart, Germany",Won vacant WBC International heavyweight title
16,Win,16–0,Derrick Lampkins,TKO,1 (8),20 Dec 1997,"21 years, 270 days","Oberrheinhalle, Offenburg, Germany",
15,Win,15–0,Ladislav Husarik,TKO,3 (8),13 Dec 1997,"21 years, 263 days","Alsterdorfer Sporthalle, Hamburg, Germany",
14,Win,14–0,Jerry Halstead,TKO,2 (8),6 Dec 1997,"21 years, 256 days","Stadthalle, Offenbach am Main, Germany",
13,Win,13–0,Marcos González,KO,2 (8),11 Oct 1997,"21 years, 200 days","Stadthalle, Cottbus, Germany",
12,Win,12–0,James Pritchard,TKO,3 (8),20 Sep 1997,"21 years, 179 days","Tivoli Eissporthalle, Aachen, Germany",
11,Win,11–0,Biko Botowamungu,DQ,"5 (6), 0:02",23 Aug 1997,"21 years, 151 days","Maritim Hotel, Stuttgart, Germany",Botowamungu disqualified after his cornermen refused to leave the ring
10,Win,10–0,Gilberto Williamson,TKO,3 (8),12 Jul 1997,"21 years, 109 days","Berlet-Halle, Hagen, Germany",
9,Win,9–0,Salvador Maciel,KO,1 (8),27 Jun 1997,"21 years, 94 days","Oberrheinhalle, Offenburg, Germany",
8,Win,8–0,Paul Ashley,KO,"2 (8), 1:25",13 Jun 1997,"21 years, 80 days","Arena Oberhausen, Oberhausen, Germany",
7,Win,7–0,Mark Wills,KO,"1 (8), 2:58",10 May 1997,"21 years, 46 days","Ballsporthalle, Frankfurt, Germany",
6,Win,6–0,Mark Young,RTD,"2 (6), 3:00",12 Apr 1997,"21 years, 18 days","Eurogress, Aachen, Germany",
5,Win,5–0,Carlos Monroe,DQ,"6 (6), 0:34",15 Feb 1997,"20 years, 327 days","Stadthalle, Cottbus, Germany",Monroe disqualified for a headbutt
4,Win,4–0,Troy Weida,TKO,"3 (6), 0:36",25 Jan 1997,"20 years, 306 days","Maritim Hotel, Stuttgart, Germany",
3,Win,3–0,Bill Corrigan,TKO,"1 (4), 1:21",21 Dec 1996,"20 years, 271 days","Zoological Garden, Frankfurt, Germany",
2,Win,2–0,Exum Speight,TKO,"2 (4), 1:54",30 Nov 1996,"20 years, 250 days","Arena Nova, Wiener Neustadt, Austria",
1,Win,1–0,Fabian Meza,KO,"1 (4), 1:35",16 Nov 1996,"20 years, 236 days","Sporthalle Wandsbek, Hamburg, Germany",
