name,scraped
Brandon Ríos,False
Chris Algieri,False
Floyd Mayweather Jr.,False
Lucas Matthysse,False
Keith Thurman,False
Yordenis Ugas,False
Mike Tyson,False
Trevor Berbick,False
James Smith,False
Tony Tucker,False
Larry Holmes,False
Michael Spinks,False
Buster Douglas,False
Donovan Ruddock,False
Evander Holyfield,False
Frank Bruno,False
Bruce Seldon,False
Lennox Lewis,False
Muhammad Ali,False
Sonny Liston,False
Joe Frazier,False
George Foreman,False
Ken Norton,False
Larry Holmes,False
Leon Spinks,False
Trevor Berbick,False
Tyson Fury,False
Wladimir Klitschko,False
Deontay Wilder,False
Otto Wallin,False
Derek Chisora,False
Steve Cunningham,False
Anthony Joshua,False
Charles Martin,False
Dominic Breazeale,False
Eric Molina,False
Wladimir Klitschko,False
Joseph Parker,False
Andy Ruiz Jr.,False
Kubrat Pulev,False
Oleksandr Usyk,False
Jermaine Franklin,False
Robert Helenius,False
Francis Ngannou,False
Daniel Dubois,False
Deontay Wilder,False
Bermane Stiverne,False
Luis Ortiz,False
Tyson Fury,False
Dominic Breazeale,False
Gerald Washington,False
Chris Arreola,False
Robert Helenius,False
Zhilei Zhang,False
Vasiliy Lomachenko,False
Gary Russell Jr.,False
Orlando Salido,False
Roman Martinez,False
Nicholas Walters,False
Guillermo Rigondeaux,False
Jorge Linares,False
Jose Pedraza,False
Anthony Crolla,False
Luke Campbell,False
Teófimo López,False
Masayoshi Nakatani,False
Richard Commey,False
Devin Haney,False
George Kambosos Jr.,False
Shakur Stevenson,False
Oscar Valdez,False
Jamel Herring,False
Jeremia Nakathila,False
Robson Conceição,False
Joet Gonzalez,False
Christopher Diaz,False
Teofimo Lopez,False
Richard Commey,False
Masayoshi Nakatani,False
Vasiliy Lomachenko,False
George Kambosos Jr.,False
Pedro Campa,False
Sandor Martin,False
Josh Taylor,False
Devin Haney,False
George Kambosos Jr.,False
Yuriorkis Gamboa,False
Jorge Linares,False
Joseph Diaz,False
Vasiliy Lomachenko,False
George Kambosos Jr.,False
Regis Prograis,False
Ryan Garcia,False
Luke Campbell,False
Javier Fortuna,False
Emmanuel Tagoe,False
Gervonta Davis,False
Oscar Duarte,False
Devin Haney,False
Gervonta Davis,False
Jose Pedraza,False
Liam Walsh,False
Francisco Fonseca,False
Yuriorkis Gamboa,False
Leo Santa Cruz,False
Mario Barrios,False
Rolando Romero,False
Héctor García,False
Ryan Garcia,False
Naoya Inoue,False
Nonito Donaire,False
Jason Moloney,False
Michael Dasmarinas,False
Aran Dipaen,False
Paul Butler,False
Stephen Fulton,False
Nonito Donaire,False
Vic Darchinyan,False
Fernando Montiel,False
Wilfredo Vázquez Jr.,False
Toshiaki Nishioka,False
Jorge Arce,False
Guillermo Rigondeaux,False
Carl Frampton,False
Naoya Inoue,False
Oscar De La Hoya,False
Julio César Chávez,False
Pernell Whitaker,False
Ike Quartey,False
Felix Trinidad,False
Shane Mosley,False
Fernando Vargas,False
Bernard Hopkins,False
Steve Forbes,False
Manny Pacquiao,False
Bernard Hopkins,False
Roy Jones Jr.,False
Antonio Tarver,False
Joe Calzaghe,False
Kelly Pavlik,False
Jean Pascal,False
Chad Dawson,False
Sergey Kovalev,False
Roy Jones Jr.,False
James Toney,False
Montell Griffin,False
Vinny Pazienza,False
Antonio Tarver,False
Glen Johnson,False
Felix Trinidad,False
Joe Calzaghe,False
Julio César Chávez,False
Roger Mayweather,False
Meldrick Taylor,False
Héctor Camacho,False
Frankie Randall,False
Oscar De La Hoya,False
Evander Holyfield,False
Dwight Muhammad Qawi,False
Michael Moorer,False
Riddick Bowe,False
Mike Tyson,False
Lennox Lewis,False
John Ruiz,False
Lennox Lewis,False
Frank Bruno,False
Oliver McCall,False
Shannon Briggs,False
Evander Holyfield,False
Mike Tyson,False
Vitali Klitschko,False
Ricky Hatton,False
Kostya Tszyu,False
Luis Collazo,False
Juan Urango,False
Jose Luis Castillo,False
Floyd Mayweather Jr.,False
Paulie Malignaggi,False
Manny Pacquiao,False
Sugar Ray Leonard,False
Wilfred Benítez,False
Roberto Durán,False
Thomas Hearns,False
Marvin Hagler,False
Donny Lalonde,False
Marvin Hagler,False
Alan Minter,False
Mustafa Hamsho,False
Roberto Durán,False
John Mugabi,False
Sugar Ray Leonard,False
Thomas Hearns,False
Wilfred Benítez,False
Pipino Cuevas,False
Roberto Durán,False
Marvin Hagler,False
Iran Barkley,False
George Foreman,False
Joe Frazier,False
Ken Norton,False
Muhammad Ali,False
Ron Lyle,False
Michael Moorer,False
Joe Frazier,False
Muhammad Ali,False
George Foreman,False
Jimmy Ellis,False
Jerry Quarry,False
Sonny Liston,False
Floyd Patterson,False
Muhammad Ali,False
Leotis Martin,False
Wladimir Klitschko,False
Chris Byrd,False
Ray Mercer,False
Jameel McCline,False
Samuel Peter,False
David Haye,False
Vitali Klitschko,False
Chris Byrd,False
Corrie Sanders,False

 
